RECLOC,CREATION_DTZ,CABIN_CD,COS_CD,OPER_OD_ORIG_CD,OPER_OD_DEST_CD,DEP_KEY,DEP_DT,ORIG_CD,DEST_CD,FLT_NUM,DEP_DTML,ARR_DTML,DEP_DTMZ,ARR_DTMZ,OD_BROKEN_IND,PAX_CNT,CVM,CONN_TIME_MINS
14,2027-08-31,Y,22,NWY,HHO,AZ20271106NWYTPH13488,2027-11-06,NWY,TPH,13488,2027-11-06 22:56,2027-11-07 2:37,2027-11-07 3:56,2027-11-07 7:37,0,4,1.386000007,
14,2027-08-31,Y,22,NWY,HHO,AZ20271106TPHHHO8010,2027-11-06,TPH,HHO,8010,2027-11-07 3:51,2027-11-07 9:04,2027-11-07 8:51,2027-11-07 14:04,0,4,1.386000007,74
14,2027-08-31,Y,11,HHO,NWY,AZ20271021TPHNWY7746,2027-10-21,TPH,NWY,7746,2027-10-22 3:55,2027-10-22 7:32,2027-10-22 8:55,2027-10-22 12:32,0,4,1.386000007,103
15,2027-10-14,C,17,ALN,NAD,AZ20271020ALNTPH13462,2027-10-20,ALN,TPH,13462,2027-10-20 19:21,2027-10-21 0:01,2027-10-21 1:21,2027-10-21 5:01,0,1,4.205529716,
15,2027-10-14,C,17,ALN,NAD,AZ20271020TPHNAD8686,2027-10-20,TPH,NAD,8686,2027-10-21 0:31,2027-10-21 2:48,2027-10-21 5:31,2027-10-21 7:48,0,1,4.205529716,30
16,2027-10-14,C,8,NWY,TPH,AZ20271022NWYTPH14133,2027-10-22,NWY,TPH,14133,2027-10-22 8:45,2027-10-22 12:26,2027-10-22 13:45,2027-10-22 17:26,0,1,3.807354922,
16,2027-10-14,C,8,TPH,NWY,AZ20271103TPHNWY10061,2027-11-03,TPH,NWY,10061,2027-11-03 18:19,2027-11-03 21:56,2027-11-03 23:19,2027-11-04 2:56,0,1,3.807354922,
17,2026-12-10,C,17,MHI,VUY,AZ20271020MHITPH15014,2027-10-20,MHI,TPH,15014,2027-10-20 13:08,2027-10-20 19:37,2027-10-20 19:08,2027-10-21 0:37,0,2,4.933178998,
17,2026-12-10,C,17,VUY,MHI,AZ20271027TPHMHI1043,2027-10-27,TPH,MHI,1043,2027-10-28 0:46,2027-10-28 5:28,2027-10-28 5:46,2027-10-28 11:28,0,2,4.933178998,117
17,2026-12-10,C,17,MHI,VUY,AZ20271020TPHVUY14711,2027-10-20,TPH,VUY,14711,2027-10-20 21:44,2027-10-20 22:10,2027-10-21 2:44,2027-10-21 4:10,0,2,4.933178998,127
17,2026-12-10,C,17,VUY,MHI,AZ20271027VUYTPH16041,2027-10-27,VUY,TPH,16041,2027-10-27 20:25,2027-10-27 22:49,2027-10-28 2:25,2027-10-28 3:49,0,2,4.933178998,
18,2027-07-15,Y,18,BJQ,PSX,AZ20271020BJQTPH14429,2027-10-20,BJQ,TPH,14429,2027-10-20 7:08,2027-10-20 11:03,2027-10-20 11:08,2027-10-20 16:03,0,1,3.456702887,
18,2027-07-15,Y,11,PSX,BJQ,AZ20280131PSXTPH13635,2028-01-31,PSX,TPH,13635,2028-01-31 20:07,2028-01-31 23:12,2028-02-01 2:07,2028-02-01 4:12,0,1,3.456702887,
18,2027-07-15,Y,11,PSX,BJQ,AZ20280131TPHBJQ13215,2028-01-31,TPH,BJQ,13215,2028-02-01 3:56,2028-02-01 9:55,2028-02-01 8:56,2028-02-01 13:55,0,1,3.456702887,284
18,2027-07-15,Y,18,BJQ,PSX,AZ20271020TPHPSX826,2027-10-20,TPH,PSX,826,2027-10-20 17:56,2027-10-20 18:59,2027-10-20 22:56,2027-10-21 0:59,0,1,3.456702887,413
19,2027-08-31,Y,23,ALN,TPH,AZ20271022ALNTPH7450,2027-10-22,ALN,TPH,7450,2027-10-22 16:03,2027-10-22 20:43,2027-10-22 22:03,2027-10-23 1:43,0,1,2,
19,2027-08-31,Y,23,TPH,ALN,AZ20270918TPHALN3819,2027-09-18,TPH,ALN,3819,2027-09-19 1:10,2027-09-19 4:13,2027-09-19 6:10,2027-09-19 10:13,0,1,2,
20,2027-09-03,Y,11,EYF,BPJ,AZ20271021EYFTPH7127,2027-10-21,EYF,TPH,7127,2027-10-21 18:37,2027-10-21 20:05,2027-10-21 23:37,2027-10-22 1:05,0,2,2.431977522,
20,2027-09-03,Y,11,EYF,BPJ,AZ20271021TPHBPJ2145,2027-10-21,TPH,BPJ,2145,2027-10-21 21:54,2027-10-22 7:13,2027-10-22 2:54,2027-10-22 10:13,0,2,2.431977522,109
21,2027-10-14,Y,0,CEF,ALN,AZ20271022CEFTPH9629,2027-10-22,CEF,TPH,9629,2027-10-22 9:24,2027-10-22 11:19,2027-10-22 14:24,2027-10-22 16:19,0,1,1.248999998,
21,2027-10-14,Y,19,JDP,CEF,AZ20271101JDPTPH15100,2027-11-01,JDP,TPH,15100,2027-11-01 20:05,2027-11-01 22:48,2027-11-02 2:05,2027-11-02 3:48,0,1,1.248999998,
21,2027-10-14,Y,0,CEF,ALN,AZ20271022TPHALN8203,2027-10-22,TPH,ALN,8203,2027-10-22 15:32,2027-10-22 18:22,2027-10-22 20:32,2027-10-23 0:22,0,1,1.248999998,253
21,2027-10-14,Y,19,JDP,CEF,AZ20271101TPHCEF1499,2027-11-01,TPH,CEF,1499,2027-11-02 0:48,2027-11-02 2:50,2027-11-02 5:48,2027-11-02 7:50,0,1,1.248999998,120
22,2027-10-14,Y,11,JDP,PSX,AZ20271020JDPTPH8350,2027-10-20,JDP,TPH,8350,2027-10-20 22:40,2027-10-21 1:23,2027-10-21 4:40,2027-10-21 6:23,0,2,2.249482839,
22,2027-10-14,Y,11,JDP,PSX,AZ20271020TPHPSX6156,2027-10-20,TPH,PSX,6156,2027-10-21 4:46,2027-10-21 5:49,2027-10-21 9:46,2027-10-21 11:49,0,2,2.249482839,203
23,2027-07-01,Y,14,CIA,OSW,AZ20271021CIATPH16338,2027-10-21,CIA,TPH,16338,2027-10-21 7:48,2027-10-21 12:58,2027-10-21 10:48,2027-10-21 17:58,0,2,5.414255519,
23,2027-07-01,Y,18,OSW,CIA,AZ20271031OSWTPH1049,2027-10-31,OSW,TPH,1049,2027-10-31 19:43,2027-10-31 22:27,2027-11-01 0:43,2027-11-01 3:27,0,2,5.414255519,
23,2027-07-01,Y,18,OSW,CIA,AZ20271031TPHCIA7541,2027-10-31,TPH,CIA,7541,2027-11-01 1:03,2027-11-01 10:23,2027-11-01 6:03,2027-11-01 13:23,0,2,5.414255519,156
23,2027-07-01,Y,14,CIA,OSW,AZ20271021TPHOSW2173,2027-10-21,TPH,OSW,2173,2027-10-21 13:48,2027-10-21 16:28,2027-10-21 18:48,2027-10-21 21:28,0,2,5.414255519,50
24,2027-09-10,Y,0,IJA,QXG,AZ20271022IJATPH19852,2027-10-22,IJA,TPH,19852,2027-10-22 12:57,2027-10-22 14:18,2027-10-22 17:57,2027-10-22 19:18,0,2,1.101000004,
24,2027-09-10,Y,0,QXG,IJA,AZ20271018QXGTPH2732,2027-10-18,QXG,TPH,2732,2027-10-18 13:31,2027-10-18 16:56,2027-10-18 19:31,2027-10-18 21:56,0,2,1.101000004,
24,2027-09-10,Y,0,QXG,IJA,AZ20271018TPHIJA13612,2027-10-18,TPH,IJA,13612,2027-10-18 18:16,2027-10-18 19:30,2027-10-18 23:16,2027-10-19 0:30,0,2,1.101000004,80
24,2027-09-10,Y,0,IJA,QXG,AZ20271022TPHQXG7185,2027-10-22,TPH,QXG,7185,2027-10-22 15:43,2027-10-22 17:11,2027-10-22 20:43,2027-10-22 23:11,0,2,1.101000004,85
25,2027-06-14,Y,11,NAD,VUY,AZ20271020NADTPH19219,2027-10-20,NAD,TPH,19219,2027-10-20 18:34,2027-10-20 20:43,2027-10-20 23:34,2027-10-21 1:43,0,1,3.657925007,
25,2027-06-14,Y,11,VUY,NAD,AZ20270914TPHNAD12819,2027-09-14,TPH,NAD,12819,2027-09-14 15:21,2027-09-14 17:34,2027-09-14 20:21,2027-09-14 22:34,0,1,3.657925007,52
25,2027-06-14,Y,11,NAD,VUY,AZ20271020TPHVUY14711,2027-10-20,TPH,VUY,14711,2027-10-20 21:44,2027-10-20 22:10,2027-10-21 2:44,2027-10-21 4:10,0,1,3.657925007,61
25,2027-06-14,Y,11,VUY,NAD,AZ20270914VUYTPH5659,2027-09-14,VUY,TPH,5659,2027-09-14 12:08,2027-09-14 14:29,2027-09-14 18:08,2027-09-14 19:29,0,1,3.657925007,
26,2027-09-17,Y,22,OYC,RZD,AZ20271027OYCTPH17708,2027-10-27,OYC,TPH,17708,2027-10-27 19:25,2027-10-27 20:44,2027-10-27 23:25,2027-10-28 1:44,0,8,1.666999996,
26,2027-09-17,Y,11,RZD,OYC,AZ20271020RZDTPH6084,2027-10-20,RZD,TPH,6084,2027-10-20 7:28,2027-10-20 11:33,2027-10-20 10:28,2027-10-20 16:33,0,8,1.666999996,
26,2027-09-17,Y,11,RZD,OYC,AZ20271020TPHOYC15133,2027-10-20,TPH,OYC,15133,2027-10-20 15:26,2027-10-20 18:29,2027-10-20 20:26,2027-10-20 22:29,0,8,1.666999996,233
26,2027-09-17,Y,22,OYC,RZD,AZ20271027TPHRZD17197,2027-10-27,TPH,RZD,17197,2027-10-27 21:53,2027-10-28 6:10,2027-10-28 2:53,2027-10-28 9:10,0,8,1.666999996,69
27,2027-06-14,Y,24,EID,GIW,AZ20271021EIDTPH2049,2027-10-21,EID,TPH,2049,2027-10-21 18:14,2027-10-21 19:48,2027-10-21 23:14,2027-10-22 0:48,0,1,4.170060033,
27,2027-06-14,Y,16,GIW,EID,AZ20270925GIWTPH14598,2027-09-25,GIW,TPH,14598,2027-09-25 7:15,2027-09-25 12:34,2027-09-25 12:15,2027-09-25 17:34,0,1,4.170060033,
27,2027-06-14,Y,16,GIW,EID,AZ20270925TPHEID19483,2027-09-25,TPH,EID,19483,2027-09-25 16:07,2027-09-25 17:49,2027-09-25 21:07,2027-09-25 22:49,0,1,4.170060033,213
27,2027-06-14,Y,24,EID,GIW,AZ20271021TPHGIW15865,2027-10-21,TPH,GIW,15865,2027-10-22 4:42,2027-10-22 9:33,2027-10-22 9:42,2027-10-22 14:33,0,1,4.170060033,534
28,2027-08-23,Y,20,OLT,KHL,AZ20271020OLTTPH9791,2027-10-20,OLT,TPH,9791,2027-10-20 7:21,2027-10-20 16:45,2027-10-20 15:21,2027-10-20 21:45,0,3,5.268458418,
28,2027-08-23,Y,20,OLT,KHL,AZ20271020TPHKHL2510,2027-10-20,TPH,KHL,2510,2027-10-20 21:26,2027-10-21 6:28,2027-10-21 2:26,2027-10-21 9:28,0,3,5.268458418,281
29,2027-09-14,Y,19,TPH,NAD,AZ20271021TPHNAD12819,2027-10-21,TPH,NAD,12819,2027-10-21 15:22,2027-10-21 17:39,2027-10-21 20:22,2027-10-21 22:39,0,2,3.03373,
30,2027-09-27,Y,11,ALN,TPH,AZ20280305ALNTPH10674,2028-03-05,ALN,TPH,10674,2028-03-05 21:43,2028-03-06 2:27,2028-03-06 2:43,2028-03-06 7:27,0,2,2.439999998,
30,2027-09-27,Y,11,TPH,ALN,AZ20271020TPHALN8203,2027-10-20,TPH,ALN,8203,2027-10-20 15:25,2027-10-20 18:22,2027-10-20 20:25,2027-10-21 0:22,0,2,2.439999998,
31,2027-08-27,Y,11,RZD,TPH,AZ20270925RZDTPH1265,2027-09-25,RZD,TPH,1265,2027-09-25 12:48,2027-09-25 17:00,2027-09-25 15:48,2027-09-25 22:00,0,1,0.444999993,
31,2027-08-27,Y,4,TPH,RZD,AZ20271020TPHRZD8719,2027-10-20,TPH,RZD,8719,2027-10-21 3:38,2027-10-21 11:49,2027-10-21 8:38,2027-10-21 14:49,0,1,0.444999993,
32,2027-09-03,Y,0,QHP,TPH,AZ20271021QHPTPH16478,2027-10-21,QHP,TPH,16478,2027-10-21 19:48,2027-10-21 22:57,2027-10-22 0:48,2027-10-22 3:57,0,1,2.256000012,
32,2027-09-03,Y,0,TPH,QHP,AZ20270904TPHQHP793,2027-09-04,TPH,QHP,793,2027-09-05 0:32,2027-09-05 3:41,2027-09-05 5:32,2027-09-05 8:41,0,1,2.256000012,
33,2027-07-01,Y,1,IPF,OSW,AZ20271020IPFTPH7343,2027-10-20,IPF,TPH,7343,2027-10-20 20:54,2027-10-21 2:14,2027-10-20 23:54,2027-10-21 7:14,0,2,5.178054197,
33,2027-07-01,Y,16,OVS,IPF,AZ20271031OVSTPH18988,2027-10-31,OVS,TPH,18988,2027-10-31 17:25,2027-10-31 20:02,2027-10-31 22:25,2027-11-01 1:02,0,2,5.178054197,
33,2027-07-01,Y,16,OVS,IPF,AZ20271031TPHIPF4302,2027-10-31,TPH,IPF,4302,2027-11-01 0:45,2027-11-01 10:02,2027-11-01 5:45,2027-11-01 13:02,0,2,5.178054197,283
33,2027-07-01,Y,1,IPF,OSW,AZ20271020TPHOSW17806,2027-10-20,TPH,OSW,17806,2027-10-21 4:02,2027-10-21 6:42,2027-10-21 9:02,2027-10-21 11:42,0,2,5.178054197,108
34,2027-10-14,Y,21,TZJ,PGM,AZ20271020TPHPGM8800,2027-10-20,TPH,PGM,8800,2027-10-21 4:41,2027-10-21 5:50,2027-10-21 9:41,2027-10-21 11:50,0,1,2.393462836,551
34,2027-10-14,Y,21,TZJ,PGM,AZ20271020TZJTPH13898,2027-10-20,TZJ,TPH,13898,2027-10-20 17:40,2027-10-20 19:30,2027-10-20 22:40,2027-10-21 0:30,0,1,2.393462836,
35,2027-09-27,Y,0,AGQ,TPH,AZ20271027AGQTPH6260,2027-10-27,AGQ,TPH,6260,2027-10-27 23:27,2027-10-28 2:35,2027-10-28 4:27,2027-10-28 7:35,0,2,2.345999986,
35,2027-09-27,Y,11,TPH,AGQ,AZ20271020TPHAGQ17373,2027-10-20,TPH,AGQ,17373,2027-10-20 18:59,2027-10-20 22:12,2027-10-20 23:59,2027-10-21 3:12,0,2,2.345999986,
36,2027-07-01,Y,20,EID,JDP,AZ20271021EIDTPH19272,2027-10-21,EID,TPH,19272,2027-10-21 11:08,2027-10-21 12:42,2027-10-21 16:08,2027-10-21 17:42,0,1,3.694849992,
36,2027-07-01,Y,11,JDP,EID,AZ20271105JDPTPH19123,2027-11-05,JDP,TPH,19123,2027-11-05 17:49,2027-11-05 20:30,2027-11-05 23:49,2027-11-06 1:30,0,1,3.694849992,
36,2027-07-01,Y,11,JDP,EID,AZ20271105TPHEID11017,2027-11-05,TPH,EID,11017,2027-11-05 21:39,2027-11-05 23:20,2027-11-06 2:39,2027-11-06 4:20,0,1,3.694849992,69
36,2027-07-01,Y,20,EID,JDP,AZ20271021TPHJDP4203,2027-10-21,TPH,JDP,4203,2027-10-21 14:12,2027-10-21 17:05,2027-10-21 19:12,2027-10-21 23:05,0,1,3.694849992,90
37,2027-09-10,Y,11,IJA,QXG,AZ20271027IJATPH18620,2027-10-27,IJA,TPH,18620,2027-10-27 21:07,2027-10-27 22:28,2027-10-28 2:07,2027-10-28 3:28,0,6,1.423000008,
37,2027-09-10,Y,0,QXG,IJA,AZ20271022QXGTPH2732,2027-10-22,QXG,TPH,2732,2027-10-22 13:31,2027-10-22 16:56,2027-10-22 19:31,2027-10-22 21:56,0,6,1.423000008,
37,2027-09-10,Y,0,QXG,IJA,AZ20271022TPHIJA13612,2027-10-22,TPH,IJA,13612,2027-10-22 18:16,2027-10-22 19:30,2027-10-22 23:16,2027-10-23 0:30,0,6,1.423000008,80
37,2027-09-10,Y,11,IJA,QXG,AZ20271027TPHQXG5430,2027-10-27,TPH,QXG,5430,2027-10-28 3:40,2027-10-28 5:08,2027-10-28 8:40,2027-10-28 11:08,0,6,1.423000008,312
38,2027-07-01,Y,10,OSW,SIQ,AZ20271020OSWTPH1049,2027-10-20,OSW,TPH,1049,2027-10-20 19:43,2027-10-20 22:27,2027-10-21 0:43,2027-10-21 3:27,0,1,3.169925001,
38,2027-07-01,Y,10,OSW,SIQ,AZ20271020TPHSIQ10809,2027-10-20,TPH,SIQ,10809,2027-10-21 0:59,2027-10-21 4:47,2027-10-21 5:59,2027-10-21 8:47,0,1,3.169925001,152
39,2027-07-01,Y,10,OSW,SIQ,AZ20271020OSWTPH1049,2027-10-20,OSW,TPH,1049,2027-10-20 19:43,2027-10-20 22:27,2027-10-21 0:43,2027-10-21 3:27,0,15,3.563944993,
39,2027-07-01,Y,10,OSW,SIQ,AZ20271020TPHSIQ10809,2027-10-20,TPH,SIQ,10809,2027-10-21 0:59,2027-10-21 4:47,2027-10-21 5:59,2027-10-21 8:47,0,15,3.563944993,152
40,2027-08-31,Y,18,NWY,ALN,AZ20271020NWYTPH14133,2027-10-20,NWY,TPH,14133,2027-10-20 8:45,2027-10-20 12:26,2027-10-20 13:45,2027-10-20 17:26,0,1,2.955462812,
40,2027-08-31,Y,18,NWY,ALN,AZ20271020TPHALN8203,2027-10-20,TPH,ALN,8203,2027-10-20 15:25,2027-10-20 18:22,2027-10-20 20:25,2027-10-21 0:22,0,1,2.955462812,179
40,2027-08-31,Y,21,LRM,NWY,AZ20270927TPHNWY16107,2027-09-27,TPH,NWY,16107,2027-09-27 15:01,2027-09-27 18:39,2027-09-27 20:01,2027-09-27 23:39,0,1,2.955462812,180
41,2027-10-14,Y,11,EYF,KHL,AZ20271021EYFTPH7127,2027-10-21,EYF,TPH,7127,2027-10-21 18:37,2027-10-21 20:05,2027-10-21 23:37,2027-10-22 1:05,0,1,5.38253843,
