DEP_KEY,DEP_DT,ORIG_CD,DEST_CD,FLT_NUM,DEP_DTML,ARR_DTML,DEP_DTMZ,ARR_DTMZ,C_CAP_CNT,C_AUL_CNT,C_PAX_CNT,C_AVAIL_CNT,Y_CAP_CNT,Y_AUL_CNT,Y_PAX_CNT,Y_AVAIL_CNT
AZ20271023JDPTPH19123,2027-10-23,JDP,TPH,19123,2027-10-23 17:49:00,2027-10-23 20:30:00,2027-10-23 22:49:00,2027-10-24 01:30:00,16,16,11,5,144,144,100,44
AZ20271020JDPTPH19123,2027-10-20,JDP,TPH,19123,2027-10-20 17:49:00,2027-10-20 20:30:00,2027-10-20 22:49:00,2027-10-21 01:30:00,16,16,15,1,144,144,144,0
AZ20271027JDPTPH19123,2027-10-27,JDP,TPH,19123,2027-10-27 17:49:00,2027-10-27 20:30:00,2027-10-27 22:49:00,2027-10-28 01:30:00,16,16,4,12,144,144,122,22
AZ20271026JDPTPH19123,2027-10-26,JDP,TPH,19123,2027-10-26 17:49:00,2027-10-26 20:30:00,2027-10-26 22:49:00,2027-10-27 01:30:00,16,16,1,15,144,144,115,29
AZ20271028JDPTPH19123,2027-10-28,JDP,TPH,19123,2027-10-28 17:49:00,2027-10-28 20:30:00,2027-10-28 22:49:00,2027-10-29 01:30:00,16,16,2,14,144,144,136,8
AZ20271025JDPTPH19123,2027-10-25,JDP,TPH,19123,2027-10-25 17:49:00,2027-10-25 20:30:00,2027-10-25 22:49:00,2027-10-26 01:30:00,16,16,9,7,144,144,129,15
AZ20271019JDPTPH19123,2027-10-19,JDP,TPH,19123,2027-10-19 17:49:00,2027-10-19 20:30:00,2027-10-19 22:49:00,2027-10-20 01:30:00,16,16,9,7,144,144,146,-2
AZ20271023TPHNWY10061,2027-10-23,TPH,NWY,10061,2027-10-23 18:19:00,2027-10-23 21:56:00,2027-10-23 23:19:00,2027-10-24 02:56:00,12,12,10,2,162,162,162,0
AZ20271028TPHNWY10061,2027-10-28,TPH,NWY,10061,2027-10-28 18:19:00,2027-10-28 21:56:00,2027-10-28 23:19:00,2027-10-29 02:56:00,12,12,2,10,162,162,148,14
AZ20271024TPHNWY10061,2027-10-24,TPH,NWY,10061,2027-10-24 18:19:00,2027-10-24 21:56:00,2027-10-24 23:19:00,2027-10-25 02:56:00,12,12,1,11,162,162,144,18
AZ20271027TPHNWY10061,2027-10-27,TPH,NWY,10061,2027-10-27 18:19:00,2027-10-27 21:56:00,2027-10-27 23:19:00,2027-10-28 02:56:00,16,16,13,3,144,144,120,24
AZ20271025TPHNWY10061,2027-10-25,TPH,NWY,10061,2027-10-25 18:19:00,2027-10-25 21:56:00,2027-10-25 23:19:00,2027-10-26 02:56:00,16,16,11,5,144,144,118,26
AZ20271020TPHNWY10061,2027-10-20,TPH,NWY,10061,2027-10-20 18:19:00,2027-10-20 21:56:00,2027-10-20 23:19:00,2027-10-21 02:56:00,16,16,16,0,144,144,144,0
AZ20271022TPHNWY10061,2027-10-22,TPH,NWY,10061,2027-10-22 18:19:00,2027-10-22 21:56:00,2027-10-22 23:19:00,2027-10-23 02:56:00,12,12,10,2,162,162,158,4
AZ20271019TPHNWY10061,2027-10-19,TPH,NWY,10061,2027-10-19 18:19:00,2027-10-19 21:56:00,2027-10-19 23:19:00,2027-10-20 02:56:00,16,16,14,2,144,144,157,-13
AZ20271026TPHNWY10061,2027-10-26,TPH,NWY,10061,2027-10-26 18:19:00,2027-10-26 21:56:00,2027-10-26 23:19:00,2027-10-27 02:56:00,12,12,3,9,162,162,154,8
AZ20271028TPHJDP6704,2027-10-28,TPH,JDP,6704,2027-10-29 00:53:00,2027-10-29 03:43:00,2027-10-29 05:53:00,2027-10-29 08:43:00,16,16,0,16,138,138,127,11
AZ20271025TPHJDP6704,2027-10-25,TPH,JDP,6704,2027-10-26 00:53:00,2027-10-26 03:43:00,2027-10-26 05:53:00,2027-10-26 08:43:00,16,16,3,13,138,138,130,8
AZ20271027TPHJDP6704,2027-10-27,TPH,JDP,6704,2027-10-28 00:53:00,2027-10-28 03:43:00,2027-10-28 05:53:00,2027-10-28 08:43:00,16,16,3,13,144,144,132,12
AZ20271023TPHJDP6704,2027-10-23,TPH,JDP,6704,2027-10-24 00:53:00,2027-10-24 03:43:00,2027-10-24 05:53:00,2027-10-24 08:43:00,16,16,9,7,138,138,134,4
AZ20271026TPHJDP6704,2027-10-26,TPH,JDP,6704,2027-10-27 00:53:00,2027-10-27 03:43:00,2027-10-27 05:53:00,2027-10-27 08:43:00,16,16,5,11,144,144,130,14
AZ20271021TPHJDP6704,2027-10-21,TPH,JDP,6704,2027-10-22 00:53:00,2027-10-22 03:43:00,2027-10-22 05:53:00,2027-10-22 08:43:00,16,16,0,16,138,138,135,3
AZ20271024TPHJDP6704,2027-10-24,TPH,JDP,6704,2027-10-25 00:53:00,2027-10-25 03:43:00,2027-10-25 05:53:00,2027-10-25 08:43:00,16,16,3,13,138,138,129,9
AZ20271022TPHJDP6704,2027-10-22,TPH,JDP,6704,2027-10-23 00:53:00,2027-10-23 03:43:00,2027-10-23 05:53:00,2027-10-23 08:43:00,16,16,5,11,138,138,138,0
AZ20271020ECZTPH10704,2027-10-20,ECZ,TPH,10704,2027-10-21 00:30:00,2027-10-21 01:57:00,2027-10-21 05:30:00,2027-10-21 06:57:00,16,16,11,5,144,144,143,1
AZ20271024ECZTPH10704,2027-10-24,ECZ,TPH,10704,2027-10-25 00:30:00,2027-10-25 01:57:00,2027-10-25 05:30:00,2027-10-25 06:57:00,16,16,0,16,144,144,132,12
AZ20271022ECZTPH10704,2027-10-22,ECZ,TPH,10704,2027-10-23 00:30:00,2027-10-23 01:57:00,2027-10-23 05:30:00,2027-10-23 06:57:00,16,16,5,11,144,144,140,4
AZ20271027ECZTPH10704,2027-10-27,ECZ,TPH,10704,2027-10-28 00:30:00,2027-10-28 01:57:00,2027-10-28 05:30:00,2027-10-28 06:57:00,16,16,3,13,144,144,123,21
AZ20271024VCFTPH17724,2027-10-24,VCF,TPH,17724,2027-10-24 18:31:00,2027-10-24 20:42:00,2027-10-24 23:31:00,2027-10-25 01:42:00,16,16,6,10,150,150,131,19
AZ20271019VCFTPH17724,2027-10-19,VCF,TPH,17724,2027-10-19 18:31:00,2027-10-19 20:42:00,2027-10-19 23:31:00,2027-10-20 01:42:00,16,16,16,0,150,150,91,59
AZ20271022VCFTPH17724,2027-10-22,VCF,TPH,17724,2027-10-22 18:31:00,2027-10-22 20:42:00,2027-10-22 23:31:00,2027-10-23 01:42:00,16,16,7,9,150,150,138,12
AZ20271025VCFTPH17724,2027-10-25,VCF,TPH,17724,2027-10-25 18:31:00,2027-10-25 20:42:00,2027-10-25 23:31:00,2027-10-26 01:42:00,16,16,2,14,150,150,71,79
AZ20271027VCFTPH17724,2027-10-27,VCF,TPH,17724,2027-10-27 18:31:00,2027-10-27 20:42:00,2027-10-27 23:31:00,2027-10-28 01:42:00,16,16,9,7,150,150,99,51
AZ20271026VCFTPH17724,2027-10-26,VCF,TPH,17724,2027-10-26 18:31:00,2027-10-26 20:42:00,2027-10-26 23:31:00,2027-10-27 01:42:00,16,16,8,8,150,150,73,77
AZ20271020VCFTPH17724,2027-10-20,VCF,TPH,17724,2027-10-20 18:31:00,2027-10-20 20:42:00,2027-10-20 23:31:00,2027-10-21 01:42:00,16,16,6,10,144,144,115,29
AZ20271026TPHQXG9080,2027-10-26,TPH,QXG,9080,2027-10-27 00:47:00,2027-10-27 02:15:00,2027-10-27 05:47:00,2027-10-27 08:15:00,16,16,10,6,144,144,117,27
AZ20271023TPHQXG9080,2027-10-23,TPH,QXG,9080,2027-10-24 00:47:00,2027-10-24 02:15:00,2027-10-24 05:47:00,2027-10-24 08:15:00,16,16,15,1,150,150,118,32
AZ20271025TPHQXG9080,2027-10-25,TPH,QXG,9080,2027-10-26 00:47:00,2027-10-26 02:15:00,2027-10-26 05:47:00,2027-10-26 08:15:00,16,16,6,10,144,144,132,12
AZ20271022TPHQXG9080,2027-10-22,TPH,QXG,9080,2027-10-23 00:47:00,2027-10-23 02:15:00,2027-10-23 05:47:00,2027-10-23 08:15:00,16,16,16,0,144,144,109,35
AZ20271024TPHQXG9080,2027-10-24,TPH,QXG,9080,2027-10-25 00:47:00,2027-10-25 02:15:00,2027-10-25 05:47:00,2027-10-25 08:15:00,16,16,8,8,150,150,120,30
AZ20271027TPHQXG9080,2027-10-27,TPH,QXG,9080,2027-10-28 00:47:00,2027-10-28 02:15:00,2027-10-28 05:47:00,2027-10-28 08:15:00,16,16,12,4,150,150,108,42
AZ20271028TPHQXG9080,2027-10-28,TPH,QXG,9080,2027-10-29 00:47:00,2027-10-29 02:15:00,2027-10-29 05:47:00,2027-10-29 08:15:00,16,16,3,13,144,144,92,52
AZ20271021TPHQXG9080,2027-10-21,TPH,QXG,9080,2027-10-22 00:47:00,2027-10-22 02:15:00,2027-10-22 05:47:00,2027-10-22 08:15:00,16,16,16,0,150,150,126,24
AZ20271020EYFTPH17051,2027-10-20,EYF,TPH,17051,2027-10-21 00:08:00,2027-10-21 01:36:00,2027-10-21 05:08:00,2027-10-21 06:36:00,16,16,12,4,150,150,147,3
AZ20271023EYFTPH17051,2027-10-23,EYF,TPH,17051,2027-10-24 00:08:00,2027-10-24 01:36:00,2027-10-24 05:08:00,2027-10-24 06:36:00,16,16,6,10,150,150,135,15
AZ20271024EYFTPH17051,2027-10-24,EYF,TPH,17051,2027-10-25 00:08:00,2027-10-25 01:36:00,2027-10-25 05:08:00,2027-10-25 06:36:00,16,16,6,10,150,150,135,15
AZ20271028EYFTPH17051,2027-10-28,EYF,TPH,17051,2027-10-29 00:08:00,2027-10-29 01:36:00,2027-10-29 05:08:00,2027-10-29 06:36:00,16,16,2,14,144,144,118,26
AZ20271022EYFTPH17051,2027-10-22,EYF,TPH,17051,2027-10-23 00:08:00,2027-10-23 01:36:00,2027-10-23 05:08:00,2027-10-23 06:36:00,16,16,6,10,150,150,135,15
AZ20271019EYFTPH17051,2027-10-19,EYF,TPH,17051,2027-10-20 00:08:00,2027-10-20 01:36:00,2027-10-20 05:08:00,2027-10-20 06:36:00,16,16,12,4,150,150,159,-9
AZ20271027EYFTPH17051,2027-10-27,EYF,TPH,17051,2027-10-28 00:08:00,2027-10-28 01:36:00,2027-10-28 05:08:00,2027-10-28 06:36:00,16,16,1,15,150,150,140,10
AZ20271025EYFTPH17051,2027-10-25,EYF,TPH,17051,2027-10-26 00:08:00,2027-10-26 01:36:00,2027-10-26 05:08:00,2027-10-26 06:36:00,16,16,1,15,144,144,128,16
AZ20271021EYFTPH17051,2027-10-21,EYF,TPH,17051,2027-10-22 00:08:00,2027-10-22 01:36:00,2027-10-22 05:08:00,2027-10-22 06:36:00,16,16,5,11,150,150,150,0
AZ20271026EYFTPH17051,2027-10-26,EYF,TPH,17051,2027-10-27 00:08:00,2027-10-27 01:36:00,2027-10-27 05:08:00,2027-10-27 06:36:00,16,16,1,15,150,150,144,6
AZ20271026EBGTPH5654,2027-10-26,EBG,TPH,5654,2027-10-26 12:44:00,2027-10-26 14:13:00,2027-10-26 16:44:00,2027-10-26 19:13:00,16,16,0,16,150,150,112,38
AZ20271022EBGTPH5654,2027-10-22,EBG,TPH,5654,2027-10-22 12:44:00,2027-10-22 14:13:00,2027-10-22 16:44:00,2027-10-22 19:13:00,16,16,12,4,150,150,148,2
AZ20271024EBGTPH5654,2027-10-24,EBG,TPH,5654,2027-10-24 12:44:00,2027-10-24 14:13:00,2027-10-24 16:44:00,2027-10-24 19:13:00,16,16,0,16,144,144,83,61
AZ20271019EBGTPH5654,2027-10-19,EBG,TPH,5654,2027-10-19 12:44:00,2027-10-19 14:13:00,2027-10-19 16:44:00,2027-10-19 19:13:00,16,16,15,1,150,150,150,0
AZ20271028EBGTPH5654,2027-10-28,EBG,TPH,5654,2027-10-28 12:44:00,2027-10-28 14:13:00,2027-10-28 16:44:00,2027-10-28 19:13:00,16,16,6,10,150,150,102,48
AZ20271021EBGTPH5654,2027-10-21,EBG,TPH,5654,2027-10-21 12:44:00,2027-10-21 14:13:00,2027-10-21 16:44:00,2027-10-21 19:13:00,16,16,15,1,150,150,150,0
AZ20271020EBGTPH5654,2027-10-20,EBG,TPH,5654,2027-10-20 12:44:00,2027-10-20 14:13:00,2027-10-20 16:44:00,2027-10-20 19:13:00,16,16,16,0,150,150,150,0
AZ20271027EBGTPH5654,2027-10-27,EBG,TPH,5654,2027-10-27 12:44:00,2027-10-27 14:13:00,2027-10-27 16:44:00,2027-10-27 19:13:00,16,16,2,14,150,150,55,95
AZ20271025EBGTPH5654,2027-10-25,EBG,TPH,5654,2027-10-25 12:44:00,2027-10-25 14:13:00,2027-10-25 16:44:00,2027-10-25 19:13:00,16,16,2,14,150,150,100,50
AZ20271023EBGTPH5654,2027-10-23,EBG,TPH,5654,2027-10-23 12:44:00,2027-10-23 14:13:00,2027-10-23 16:44:00,2027-10-23 19:13:00,16,16,5,11,150,150,121,29
AZ20271024ZFMTPH17726,2027-10-24,ZFM,TPH,17726,2027-10-24 18:51:00,2027-10-24 23:36:00,2027-10-24 21:51:00,2027-10-25 04:36:00,12,12,7,5,162,162,162,0
AZ20271028ZFMTPH17726,2027-10-28,ZFM,TPH,17726,2027-10-28 18:51:00,2027-10-28 23:36:00,2027-10-28 21:51:00,2027-10-29 04:36:00,12,12,12,0,162,162,153,9
AZ20271021ZFMTPH17726,2027-10-21,ZFM,TPH,17726,2027-10-21 18:51:00,2027-10-21 23:36:00,2027-10-21 21:51:00,2027-10-22 04:36:00,12,12,12,0,162,162,161,1
AZ20271027ZFMTPH17726,2027-10-27,ZFM,TPH,17726,2027-10-27 18:51:00,2027-10-27 23:36:00,2027-10-27 21:51:00,2027-10-28 04:36:00,12,12,12,0,162,162,148,14
AZ20271025ZFMTPH17726,2027-10-25,ZFM,TPH,17726,2027-10-25 18:51:00,2027-10-25 23:36:00,2027-10-25 21:51:00,2027-10-26 04:36:00,12,12,12,0,162,162,152,10
AZ20271026ZFMTPH17726,2027-10-26,ZFM,TPH,17726,2027-10-26 18:51:00,2027-10-26 23:36:00,2027-10-26 21:51:00,2027-10-27 04:36:00,12,12,12,0,162,162,151,11
AZ20271023ZFMTPH17726,2027-10-23,ZFM,TPH,17726,2027-10-23 18:51:00,2027-10-23 23:36:00,2027-10-23 21:51:00,2027-10-24 04:36:00,12,12,11,1,162,162,165,-3
AZ20271019ZFMTPH17726,2027-10-19,ZFM,TPH,17726,2027-10-19 18:51:00,2027-10-19 23:36:00,2027-10-19 21:51:00,2027-10-20 04:36:00,16,16,16,0,144,144,156,-12
AZ20271020ZFMTPH17726,2027-10-20,ZFM,TPH,17726,2027-10-20 18:51:00,2027-10-20 23:36:00,2027-10-20 21:51:00,2027-10-21 04:36:00,16,16,16,0,144,144,161,-17
AZ20271022ZFMTPH17726,2027-10-22,ZFM,TPH,17726,2027-10-22 18:51:00,2027-10-22 23:36:00,2027-10-22 21:51:00,2027-10-23 04:36:00,16,16,12,4,144,144,162,-18
AZ20271028TPHTZJ10685,2027-10-28,TPH,TZJ,10685,2027-10-29 04:39:00,2027-10-29 06:19:00,2027-10-29 09:39:00,2027-10-29 11:19:00,16,16,1,15,144,144,148,-4
AZ20271020TPHTZJ10685,2027-10-20,TPH,TZJ,10685,2027-10-21 04:39:00,2027-10-21 06:19:00,2027-10-21 09:39:00,2027-10-21 11:19:00,12,12,3,9,114,114,114,0
AZ20271023TPHTZJ10685,2027-10-23,TPH,TZJ,10685,2027-10-24 04:39:00,2027-10-24 06:19:00,2027-10-24 09:39:00,2027-10-24 11:19:00,12,12,1,11,114,114,116,-2
AZ20271021TPHTZJ10685,2027-10-21,TPH,TZJ,10685,2027-10-22 04:39:00,2027-10-22 06:19:00,2027-10-22 09:39:00,2027-10-22 11:19:00,16,16,1,15,144,144,144,0
AZ20271026TPHTZJ10685,2027-10-26,TPH,TZJ,10685,2027-10-27 04:39:00,2027-10-27 06:19:00,2027-10-27 09:39:00,2027-10-27 11:19:00,12,12,0,12,114,114,121,-7
AZ20271027TPHTZJ10685,2027-10-27,TPH,TZJ,10685,2027-10-28 04:39:00,2027-10-28 06:19:00,2027-10-28 09:39:00,2027-10-28 11:19:00,12,12,2,10,114,114,111,3
AZ20271024TPHTZJ10685,2027-10-24,TPH,TZJ,10685,2027-10-25 04:39:00,2027-10-25 06:19:00,2027-10-25 09:39:00,2027-10-25 11:19:00,12,12,0,12,114,114,109,5
AZ20271022TZJTPH11611,2027-10-22,TZJ,TPH,11611,2027-10-23 00:21:00,2027-10-23 02:11:00,2027-10-23 05:21:00,2027-10-23 07:11:00,16,16,15,1,144,144,146,-2
AZ20271025TZJTPH11611,2027-10-25,TZJ,TPH,11611,2027-10-26 00:21:00,2027-10-26 02:11:00,2027-10-26 05:21:00,2027-10-26 07:11:00,16,16,4,12,144,144,132,12
AZ20271028TZJTPH11611,2027-10-28,TZJ,TPH,11611,2027-10-29 00:21:00,2027-10-29 02:11:00,2027-10-29 05:21:00,2027-10-29 07:11:00,16,16,0,16,150,150,128,22
AZ20271027TZJTPH11611,2027-10-27,TZJ,TPH,11611,2027-10-28 00:21:00,2027-10-28 02:11:00,2027-10-28 05:21:00,2027-10-28 07:11:00,16,16,3,13,150,150,143,7
AZ20271021TZJTPH11611,2027-10-21,TZJ,TPH,11611,2027-10-22 00:21:00,2027-10-22 02:11:00,2027-10-22 05:21:00,2027-10-22 07:11:00,16,16,8,8,144,144,142,2
AZ20271019TZJTPH11611,2027-10-19,TZJ,TPH,11611,2027-10-20 00:21:00,2027-10-20 02:11:00,2027-10-20 05:21:00,2027-10-20 07:11:00,16,16,16,0,144,144,149,-5
AZ20271020TZJTPH11611,2027-10-20,TZJ,TPH,11611,2027-10-21 00:21:00,2027-10-21 02:11:00,2027-10-21 05:21:00,2027-10-21 07:11:00,16,16,15,1,144,144,144,0
AZ20271023TZJTPH11611,2027-10-23,TZJ,TPH,11611,2027-10-24 00:21:00,2027-10-24 02:11:00,2027-10-24 05:21:00,2027-10-24 07:11:00,16,16,14,2,144,144,143,1
AZ20271024TZJTPH11611,2027-10-24,TZJ,TPH,11611,2027-10-25 00:21:00,2027-10-25 02:11:00,2027-10-25 05:21:00,2027-10-25 07:11:00,16,16,3,13,144,144,143,1
AZ20271026TZJTPH11611,2027-10-26,TZJ,TPH,11611,2027-10-27 00:21:00,2027-10-27 02:11:00,2027-10-27 05:21:00,2027-10-27 07:11:00,12,12,0,12,114,114,112,2
AZ20271026NWYTPH11552,2027-10-26,NWY,TPH,11552,2027-10-26 19:57:00,2027-10-26 23:38:00,2027-10-27 00:57:00,2027-10-27 04:38:00,16,16,14,2,144,144,141,3
AZ20271025NWYTPH11552,2027-10-25,NWY,TPH,11552,2027-10-25 19:57:00,2027-10-25 23:38:00,2027-10-26 00:57:00,2027-10-26 04:38:00,16,16,13,3,144,144,146,-2
AZ20271027NWYTPH11552,2027-10-27,NWY,TPH,11552,2027-10-27 19:57:00,2027-10-27 23:38:00,2027-10-28 00:57:00,2027-10-28 04:38:00,16,16,15,1,144,144,144,0
AZ20271022NWYTPH11552,2027-10-22,NWY,TPH,11552,2027-10-22 19:57:00,2027-10-22 23:38:00,2027-10-23 00:57:00,2027-10-23 04:38:00,16,16,16,0,144,144,144,0
AZ20271028NWYTPH11552,2027-10-28,NWY,TPH,11552,2027-10-28 19:57:00,2027-10-28 23:38:00,2027-10-29 00:57:00,2027-10-29 04:38:00,16,16,8,8,144,144,146,-2
AZ20271023NWYTPH11552,2027-10-23,NWY,TPH,11552,2027-10-23 19:57:00,2027-10-23 23:38:00,2027-10-24 00:57:00,2027-10-24 04:38:00,16,16,15,1,144,144,147,-3
AZ20271021NWYTPH11552,2027-10-21,NWY,TPH,11552,2027-10-21 19:57:00,2027-10-21 23:38:00,2027-10-22 00:57:00,2027-10-22 04:38:00,16,16,16,0,144,144,143,1
AZ20271024NWYTPH11552,2027-10-24,NWY,TPH,11552,2027-10-24 19:57:00,2027-10-24 23:38:00,2027-10-25 00:57:00,2027-10-25 04:38:00,16,16,12,4,144,144,147,-3
AZ20271025JDPTPH15100,2027-10-25,JDP,TPH,15100,2027-10-25 20:05:00,2027-10-25 22:48:00,2027-10-26 01:05:00,2027-10-26 03:48:00,16,16,6,10,144,144,92,52
AZ20271019JDPTPH15100,2027-10-19,JDP,TPH,15100,2027-10-19 20:05:00,2027-10-19 22:48:00,2027-10-20 01:05:00,2027-10-20 03:48:00,16,16,11,5,144,144,149,-5
AZ20271020JDPTPH15100,2027-10-20,JDP,TPH,15100,2027-10-20 20:05:00,2027-10-20 22:48:00,2027-10-21 01:05:00,2027-10-21 03:48:00,12,12,12,0,114,114,114,0
AZ20271027JDPTPH15100,2027-10-27,JDP,TPH,15100,2027-10-27 20:05:00,2027-10-27 22:48:00,2027-10-28 01:05:00,2027-10-28 03:48:00,16,16,10,6,144,144,117,27
AZ20271028JDPTPH15100,2027-10-28,JDP,TPH,15100,2027-10-28 20:05:00,2027-10-28 22:48:00,2027-10-29 01:05:00,2027-10-29 03:48:00,16,16,7,9,144,144,139,5
AZ20271024JDPTPH15100,2027-10-24,JDP,TPH,15100,2027-10-24 20:05:00,2027-10-24 22:48:00,2027-10-25 01:05:00,2027-10-25 03:48:00,12,12,1,11,114,114,82,32
AZ20271023JDPTPH15100,2027-10-23,JDP,TPH,15100,2027-10-23 20:05:00,2027-10-23 22:48:00,2027-10-24 01:05:00,2027-10-24 03:48:00,16,16,4,12,144,144,106,38
AZ20271021JDPTPH15100,2027-10-21,JDP,TPH,15100,2027-10-21 20:05:00,2027-10-21 22:48:00,2027-10-22 01:05:00,2027-10-22 03:48:00,12,12,7,5,114,114,93,21
AZ20271026JDPTPH15100,2027-10-26,JDP,TPH,15100,2027-10-26 20:05:00,2027-10-26 22:48:00,2027-10-27 01:05:00,2027-10-27 03:48:00,16,16,6,10,144,144,99,45
AZ20271022JDPTPH15100,2027-10-22,JDP,TPH,15100,2027-10-22 20:05:00,2027-10-22 22:48:00,2027-10-23 01:05:00,2027-10-23 03:48:00,16,16,15,1,144,144,122,22
AZ20271019TPHOSW3559,2027-10-19,TPH,OSW,3559,2027-10-20 01:02:00,2027-10-20 03:42:00,2027-10-20 06:02:00,2027-10-20 08:42:00,16,16,16,0,150,150,163,-13
AZ20271025TPHOSW3559,2027-10-25,TPH,OSW,3559,2027-10-26 01:02:00,2027-10-26 03:42:00,2027-10-26 06:02:00,2027-10-26 08:42:00,16,16,13,3,144,144,143,1
AZ20271023TPHOSW3559,2027-10-23,TPH,OSW,3559,2027-10-24 01:02:00,2027-10-24 03:42:00,2027-10-24 06:02:00,2027-10-24 08:42:00,16,16,16,0,144,144,132,12
AZ20271022TPHOSW3559,2027-10-22,TPH,OSW,3559,2027-10-23 01:02:00,2027-10-23 03:42:00,2027-10-23 06:02:00,2027-10-23 08:42:00,16,16,12,4,150,150,137,13
AZ20271021TPHOSW3559,2027-10-21,TPH,OSW,3559,2027-10-22 01:02:00,2027-10-22 03:42:00,2027-10-22 06:02:00,2027-10-22 08:42:00,12,12,10,2,114,114,97,17
AZ20271026TPHOSW3559,2027-10-26,TPH,OSW,3559,2027-10-27 01:02:00,2027-10-27 03:42:00,2027-10-27 06:02:00,2027-10-27 08:42:00,16,16,7,9,150,150,140,10
AZ20271028TPHOSW3559,2027-10-28,TPH,OSW,3559,2027-10-29 01:02:00,2027-10-29 03:42:00,2027-10-29 06:02:00,2027-10-29 08:42:00,12,12,4,8,114,114,98,16
AZ20271024TPHOVS17846,2027-10-24,TPH,OVS,17846,2027-10-24 13:58:00,2027-10-24 16:25:00,2027-10-24 18:58:00,2027-10-24 21:25:00,16,16,11,5,150,150,134,16
AZ20271020TPHOVS17846,2027-10-20,TPH,OVS,17846,2027-10-20 13:58:00,2027-10-20 16:25:00,2027-10-20 18:58:00,2027-10-20 21:25:00,16,16,7,9,150,150,72,78
AZ20271027TPHOVS17846,2027-10-27,TPH,OVS,17846,2027-10-27 13:58:00,2027-10-27 16:25:00,2027-10-27 18:58:00,2027-10-27 21:25:00,16,16,5,11,150,150,57,93
AZ20271022TPHOVS17846,2027-10-22,TPH,OVS,17846,2027-10-22 13:58:00,2027-10-22 16:25:00,2027-10-22 18:58:00,2027-10-22 21:25:00,16,16,11,5,144,144,111,33
AZ20271028TZJTPH16021,2027-10-28,TZJ,TPH,16021,2027-10-28 12:32:00,2027-10-28 14:22:00,2027-10-28 17:32:00,2027-10-28 19:22:00,12,12,1,11,114,114,100,14
AZ20271026TZJTPH16021,2027-10-26,TZJ,TPH,16021,2027-10-26 12:32:00,2027-10-26 14:22:00,2027-10-26 17:32:00,2027-10-26 19:22:00,12,12,3,9,114,114,111,3
AZ20271021TZJTPH16021,2027-10-21,TZJ,TPH,16021,2027-10-21 12:32:00,2027-10-21 14:22:00,2027-10-21 17:32:00,2027-10-21 19:22:00,12,12,2,10,114,114,114,0
AZ20271025TZJTPH16021,2027-10-25,TZJ,TPH,16021,2027-10-25 12:32:00,2027-10-25 14:22:00,2027-10-25 17:32:00,2027-10-25 19:22:00,12,12,6,6,114,114,120,-6
AZ20271023TZJTPH16021,2027-10-23,TZJ,TPH,16021,2027-10-23 12:32:00,2027-10-23 14:22:00,2027-10-23 17:32:00,2027-10-23 19:22:00,12,12,4,8,114,114,114,0
