RECLOC,CABIN_CD,COS_CD,OPER_OD_ORIG_CD,OPER_OD_DEST_CD,DEP_KEY,DEP_DT,ORIG_CD,DEST_CD,FLT_NUM,DEP_DTML,ARR_DTML,DEP_DTMZ,ARR_DTMZ,PREV_OD_BROKEN_IND,PAX_CNT,CVM,PREV_CONN_TIME,ALT_DEP_KEY,ALT_CABIN_CD,ALT_OPER_OD_ORIG_CD,ALT_OPER_OD_DEST_CD,ALT_DEP_DT,ALT_ORIG_CD,ALT_DEST_CD,ALT_FLT_NUM,ALT_DEP_DTML,ALT_ARR_DTML,ALT_DEP_DTMZ,ALT_ARR_DTMZ,ALT_CONN_TIME_MINS
6,Y,0,VUY,EID,AZ20271022VUYTPH5659,2027-10-22,VUY,TPH,5659,2027-10-22 12:02,2027-10-22 14:26,2027-10-22 18:02,2027-10-22 19:26,0,1,2.320012851,,AZ20271023VUYQXG10006,Either,VUY,QXG,2027-10-23,VUY,QXG,10006.0,2027-10-24 02:33,2027-10-24 04:18,2027-10-24 08:33,2027-10-24 10:18,
6,Y,0,VUY,EID,AZ20271022VUYTPH5659,2027-10-22,VUY,TPH,5659,2027-10-22 12:02,2027-10-22 14:26,2027-10-22 18:02,2027-10-22 19:26,0,1,2.320012851,,AZ20271024QXGTPH15389,Either,QXG,TPH,2027-10-24,QXG,TPH,15389.0,2027-10-24 11:03,2027-10-24 14:28,2027-10-24 17:03,2027-10-24 19:28,105.0
7,Y,19,PGM,CLT,AZ20271021PGMTPH18891,2027-10-21,PGM,TPH,18891,2027-10-21 11:10,2027-10-21 14:17,2027-10-21 17:10,2027-10-21 19:17,0,1,2.321462839,,AZ20271023PGMTPH18891,Either,PGM,TPH,2027-10-23,PGM,TPH,18891.0,2027-10-23 11:10,2027-10-23 14:17,2027-10-23 17:10,2027-10-23 19:17,
8,Y,14,TPH,QRD,AZ20271020TPHQRD1370,2027-10-20,TPH,QRD,1370,2027-10-20 15:47,2027-10-20 19:13,2027-10-20 20:47,2027-10-21 0:13,0,2,0.393999994,,,,,,,,,,,,,,
9,Y,21,EYF,TPH,AZ20271021EYFTPH7127,2027-10-21,EYF,TPH,7127,2027-10-21 18:37,2027-10-21 20:05,2027-10-21 23:37,2027-10-22 1:05,0,1,0.0821100026369095,,,,,,,,,,,,,,
10,Y,13,QHP,NAD,AZ20271021TPHNAD10818,2027-10-21,TPH,NAD,10818,2027-10-22 3:37,2027-10-22 5:54,2027-10-22 8:37,2027-10-22 10:54,0,1,5.17990909,118.0,AZ20271023TPHNAD10818,Either,TPH,NAD,2027-10-23,TPH,NAD,10818.0,2027-10-24 03:37,2027-10-24 05:54,2027-10-24 08:37,2027-10-24 10:54,
10,Y,13,QHP,NAD,AZ20271021TPHNAD10818,2027-10-21,TPH,NAD,10818,2027-10-22 3:37,2027-10-22 5:54,2027-10-22 8:37,2027-10-22 10:54,0,1,5.17990909,118.0,AZ20271023TPHNAD18287,Either,TPH,NAD,2027-10-23,TPH,NAD,18287.0,2027-10-23 17:47,2027-10-23 20:04,2027-10-23 22:47,2027-10-24 01:04,
10,Y,13,QHP,NAD,AZ20271021TPHNAD10818,2027-10-21,TPH,NAD,10818,2027-10-22 3:37,2027-10-22 5:54,2027-10-22 8:37,2027-10-22 10:54,0,1,5.17990909,118.0,AZ20271023TPHNAD5528,Either,TPH,NAD,2027-10-23,TPH,NAD,5528.0,2027-10-23 21:32,2027-10-23 23:49,2027-10-24 02:32,2027-10-24 04:49,
10,Y,13,QHP,NAD,AZ20271021TPHNAD10818,2027-10-21,TPH,NAD,10818,2027-10-22 3:37,2027-10-22 5:54,2027-10-22 8:37,2027-10-22 10:54,0,1,5.17990909,118.0,AZ20271023TPHNAD8686,Either,TPH,NAD,2027-10-23,TPH,NAD,8686.0,2027-10-24 00:31,2027-10-24 02:48,2027-10-24 05:31,2027-10-24 07:48,
11,Y,11,ERW,ZFM,AZ20271020ERWTPH11666,2027-10-20,ERW,TPH,11666,2027-10-20 18:27,2027-10-20 20:04,2027-10-20 22:27,2027-10-21 1:04,0,1,4.951531959,,AZ20271021ERWTPH1187,Either,ERW,TPH,2027-10-21,ERW,TPH,1187.0,2027-10-21 15:04,2027-10-21 16:41,2027-10-21 19:04,2027-10-21 21:41,
12,Y,0,QHP,TPH,AZ20271021QHPTPH5747,2027-10-21,QHP,TPH,5747,2027-10-21 11:17,2027-10-21 14:26,2027-10-21 16:17,2027-10-21 19:26,0,1,4.703757142,,AZ20271022QHPTPH19553,Either,QHP,TPH,2027-10-22,QHP,TPH,19553.0,2027-10-22 19:16,2027-10-22 22:25,2027-10-23 00:16,2027-10-23 03:25,
13,Y,18,ERW,EYF,AZ20271020TPHEYF5897,2027-10-20,TPH,EYF,5897,2027-10-21 3:46,2027-10-21 5:07,2027-10-21 8:46,2027-10-21 10:07,0,8,3.491075006,136.0,,,,,,,,,,,,,
14,Y,11,HHO,NWY,AZ20271021TPHNWY7746,2027-10-21,TPH,NWY,7746,2027-10-22 3:55,2027-10-22 7:32,2027-10-22 8:55,2027-10-22 12:32,0,4,1.386000007,103.0,,,,,,,,,,,,,
15,C,17,ALN,NAD,AZ20271020ALNTPH13462,2027-10-20,ALN,TPH,13462,2027-10-20 19:21,2027-10-21 0:01,2027-10-21 1:21,2027-10-21 5:01,0,1,4.205529716,,AZ20271021ALNTPH10674,Either,ALN,TPH,2027-10-21,ALN,TPH,10674.0,2027-10-21 21:43,2027-10-22 02:23,2027-10-22 03:43,2027-10-22 07:23,
15,C,17,ALN,NAD,AZ20271020ALNTPH13462,2027-10-20,ALN,TPH,13462,2027-10-20 19:21,2027-10-21 0:01,2027-10-21 1:21,2027-10-21 5:01,0,1,4.205529716,,AZ20271021ALNTPH13462,Either,ALN,TPH,2027-10-21,ALN,TPH,13462.0,2027-10-21 19:21,2027-10-22 00:01,2027-10-22 01:21,2027-10-22 05:01,
15,C,17,ALN,NAD,AZ20271020ALNTPH13462,2027-10-20,ALN,TPH,13462,2027-10-20 19:21,2027-10-21 0:01,2027-10-21 1:21,2027-10-21 5:01,0,1,4.205529716,,AZ20271021ALNTPH7371,Either,ALN,TPH,2027-10-21,ALN,TPH,7371.0,2027-10-21 08:08,2027-10-21 12:45,2027-10-21 14:08,2027-10-21 17:45,
15,C,17,ALN,NAD,AZ20271020ALNTPH13462,2027-10-20,ALN,TPH,13462,2027-10-20 19:21,2027-10-21 0:01,2027-10-21 1:21,2027-10-21 5:01,0,1,4.205529716,,AZ20271022ALNTPH13462,Either,ALN,TPH,2027-10-22,ALN,TPH,13462.0,2027-10-22 19:21,2027-10-23 00:01,2027-10-23 01:21,2027-10-23 05:01,
15,C,17,ALN,NAD,AZ20271020ALNTPH13462,2027-10-20,ALN,TPH,13462,2027-10-20 19:21,2027-10-21 0:01,2027-10-21 1:21,2027-10-21 5:01,0,1,4.205529716,,AZ20271022ALNTPH7371,Either,ALN,TPH,2027-10-22,ALN,TPH,7371.0,2027-10-22 08:08,2027-10-22 12:45,2027-10-22 14:08,2027-10-22 17:45,
15,C,17,ALN,NAD,AZ20271020TPHNAD8686,2027-10-20,TPH,NAD,8686,2027-10-21 0:31,2027-10-21 2:48,2027-10-21 5:31,2027-10-21 7:48,0,1,4.205529716,30.0,AZ20271021TPHNAD8686,Either,TPH,NAD,2027-10-21,TPH,NAD,8686.0,2027-10-22 00:31,2027-10-22 02:48,2027-10-22 05:31,2027-10-22 07:48,
16,C,8,NWY,TPH,AZ20271022NWYTPH14133,2027-10-22,NWY,TPH,14133,2027-10-22 8:45,2027-10-22 12:26,2027-10-22 13:45,2027-10-22 17:26,0,1,3.807354922,,AZ20271024NWYTPH14133,Either,NWY,TPH,2027-10-24,NWY,TPH,14133.0,2027-10-24 08:45,2027-10-24 12:26,2027-10-24 13:45,2027-10-24 17:26,
17,C,17,MHI,VUY,AZ20271020TPHVUY14711,2027-10-20,TPH,VUY,14711,2027-10-20 21:44,2027-10-20 22:10,2027-10-21 2:44,2027-10-21 4:10,0,2,4.933178998,127.0,AZ20271022TPHQXG14385,Either,TPH,QXG,2027-10-22,TPH,QXG,14385.0,2027-10-22 13:40,2027-10-22 15:08,2027-10-22 18:40,2027-10-22 21:08,
17,C,17,MHI,VUY,AZ20271020TPHVUY14711,2027-10-20,TPH,VUY,14711,2027-10-20 21:44,2027-10-20 22:10,2027-10-21 2:44,2027-10-21 4:10,0,2,4.933178998,127.0,AZ20271022QXGVUY8894,Either,QXG,VUY,2027-10-22,QXG,VUY,8894.0,2027-10-22 15:31,2027-10-22 17:13,2027-10-22 21:31,2027-10-22 23:13,88.0
18,Y,18,BJQ,PSX,AZ20271020TPHPSX826,2027-10-20,TPH,PSX,826,2027-10-20 17:56,2027-10-20 18:59,2027-10-20 22:56,2027-10-21 0:59,0,1,3.456702887,413.0,,,,,,,,,,,,,
19,Y,23,ALN,TPH,AZ20271022ALNTPH7450,2027-10-22,ALN,TPH,7450,2027-10-22 16:03,2027-10-22 20:43,2027-10-22 22:03,2027-10-23 1:43,0,1,2.0,,AZ20271022ALNTPH10674,Either,ALN,TPH,2027-10-22,ALN,TPH,10674.0,2027-10-22 21:43,2027-10-23 02:23,2027-10-23 03:43,2027-10-23 07:23,
19,Y,23,ALN,TPH,AZ20271022ALNTPH7450,2027-10-22,ALN,TPH,7450,2027-10-22 16:03,2027-10-22 20:43,2027-10-22 22:03,2027-10-23 1:43,0,1,2.0,,AZ20271023ALNTPH6238,Either,ALN,TPH,2027-10-23,ALN,TPH,6238.0,2027-10-23 12:08,2027-10-23 16:48,2027-10-23 18:08,2027-10-23 21:48,
19,Y,23,ALN,TPH,AZ20271022ALNTPH7450,2027-10-22,ALN,TPH,7450,2027-10-22 16:03,2027-10-22 20:43,2027-10-22 22:03,2027-10-23 1:43,0,1,2.0,,AZ20271023ALNTPH7450,Either,ALN,TPH,2027-10-23,ALN,TPH,7450.0,2027-10-23 16:03,2027-10-23 20:43,2027-10-23 22:03,2027-10-24 01:43,
19,Y,23,ALN,TPH,AZ20271022ALNTPH7450,2027-10-22,ALN,TPH,7450,2027-10-22 16:03,2027-10-22 20:43,2027-10-22 22:03,2027-10-23 1:43,0,1,2.0,,AZ20271024ALNTPH6238,Either,ALN,TPH,2027-10-24,ALN,TPH,6238.0,2027-10-24 12:08,2027-10-24 16:48,2027-10-24 18:08,2027-10-24 21:48,
19,Y,23,ALN,TPH,AZ20271022ALNTPH7450,2027-10-22,ALN,TPH,7450,2027-10-22 16:03,2027-10-22 20:43,2027-10-22 22:03,2027-10-23 1:43,0,1,2.0,,AZ20271024ALNTPH7371,Either,ALN,TPH,2027-10-24,ALN,TPH,7371.0,2027-10-24 08:08,2027-10-24 12:45,2027-10-24 14:08,2027-10-24 17:45,
20,Y,11,EYF,BPJ,AZ20271021EYFTPH7127,2027-10-21,EYF,TPH,7127,2027-10-21 18:37,2027-10-21 20:05,2027-10-21 23:37,2027-10-22 1:05,0,2,2.431977522,,,,,,,,,,,,,,
21,Y,0,CEF,ALN,AZ20271022CEFTPH9629,2027-10-22,CEF,TPH,9629,2027-10-22 9:24,2027-10-22 11:19,2027-10-22 14:24,2027-10-22 16:19,0,1,1.248999998,,AZ20271023CEFTPH115,Either,CEF,TPH,2027-10-23,CEF,TPH,115.0,2027-10-24 00:49,2027-10-24 02:44,2027-10-24 05:49,2027-10-24 07:44,
22,Y,11,JDP,PSX,AZ20271020JDPTPH8350,2027-10-20,JDP,TPH,8350,2027-10-20 22:40,2027-10-21 1:23,2027-10-21 4:40,2027-10-21 6:23,0,2,2.249482839,,AZ20271022JDPTPH19123,Either,JDP,TPH,2027-10-22,JDP,TPH,19123.0,2027-10-22 17:49,2027-10-22 20:30,2027-10-22 22:49,2027-10-23 01:30,
23,Y,14,CIA,OSW,AZ20271021TPHOSW2173,2027-10-21,TPH,OSW,2173,2027-10-21 13:48,2027-10-21 16:28,2027-10-21 18:48,2027-10-21 21:28,0,2,5.414255519,50.0,,,,,,,,,,,,,
24,Y,0,IJA,QXG,AZ20271022IJATPH19852,2027-10-22,IJA,TPH,19852,2027-10-22 12:57,2027-10-22 14:18,2027-10-22 17:57,2027-10-22 19:18,0,2,1.101000004,,AZ20271023IJATPH3761,Either,IJA,TPH,2027-10-23,IJA,TPH,3761.0,2027-10-23 18:18,2027-10-23 19:39,2027-10-23 23:18,2027-10-24 00:39,
25,Y,11,NAD,VUY,AZ20271020TPHVUY14711,2027-10-20,TPH,VUY,14711,2027-10-20 21:44,2027-10-20 22:10,2027-10-21 2:44,2027-10-21 4:10,0,1,3.657925007,61.0,AZ20271022TPHVUY2154,Either,TPH,VUY,2027-10-22,TPH,VUY,2154.0,2027-10-22 13:44,2027-10-22 14:10,2027-10-22 18:44,2027-10-22 20:10,
26,Y,11,RZD,OYC,AZ20271020TPHOYC15133,2027-10-20,TPH,OYC,15133,2027-10-20 15:26,2027-10-20 18:29,2027-10-20 20:26,2027-10-20 22:29,0,8,1.666999996,233.0,,,,,,,,,,,,,
27,Y,24,EID,GIW,AZ20271021EIDTPH2049,2027-10-21,EID,TPH,2049,2027-10-21 18:14,2027-10-21 19:48,2027-10-21 23:14,2027-10-22 0:48,0,1,4.170060033,,,,,,,,,,,,,,
27,Y,24,EID,GIW,AZ20271021TPHGIW15865,2027-10-21,TPH,GIW,15865,2027-10-22 4:42,2027-10-22 9:33,2027-10-22 9:42,2027-10-22 14:33,0,1,4.170060033,534.0,,,,,,,,,,,,,
28,Y,20,OLT,KHL,AZ20271020TPHKHL2510,2027-10-20,TPH,KHL,2510,2027-10-20 21:26,2027-10-21 6:28,2027-10-21 2:26,2027-10-21 9:28,0,3,5.268458418,281.0,AZ20271022TPHKHL2510,Either,TPH,KHL,2027-10-22,TPH,KHL,2510.0,2027-10-22 21:26,2027-10-23 06:28,2027-10-23 02:26,2027-10-23 09:28,
29,Y,19,TPH,NAD,AZ20271021TPHNAD12819,2027-10-21,TPH,NAD,12819,2027-10-21 15:22,2027-10-21 17:39,2027-10-21 20:22,2027-10-21 22:39,0,2,3.03373,,AZ20271022TPHNAD10818,Either,TPH,NAD,2027-10-22,TPH,NAD,10818.0,2027-10-23 03:37,2027-10-23 05:54,2027-10-23 08:37,2027-10-23 10:54,
30,Y,11,TPH,ALN,AZ20271020TPHALN8203,2027-10-20,TPH,ALN,8203,2027-10-20 15:25,2027-10-20 18:22,2027-10-20 20:25,2027-10-21 0:22,0,2,2.439999998,,,,,,,,,,,,,,
31,Y,4,TPH,RZD,AZ20271020TPHRZD8719,2027-10-20,TPH,RZD,8719,2027-10-21 3:38,2027-10-21 11:49,2027-10-21 8:38,2027-10-21 14:49,0,1,0.444999993,,AZ20271022TPHRZD17197,Either,TPH,RZD,2027-10-22,TPH,RZD,17197.0,2027-10-22 21:53,2027-10-23 06:10,2027-10-23 02:53,2027-10-23 09:10,
32,Y,0,QHP,TPH,AZ20271021QHPTPH16478,2027-10-21,QHP,TPH,16478,2027-10-21 19:48,2027-10-21 22:57,2027-10-22 0:48,2027-10-22 3:57,0,1,2.256000012,,AZ20271023QHPTPH2890,Either,QHP,TPH,2027-10-23,QHP,TPH,2890.0,2027-10-23 13:44,2027-10-23 16:53,2027-10-23 18:44,2027-10-23 21:53,
33,Y,1,IPF,OSW,AZ20271020TPHOSW17806,2027-10-20,TPH,OSW,17806,2027-10-21 4:02,2027-10-21 6:42,2027-10-21 9:02,2027-10-21 11:42,0,2,5.178054197,108.0,,,,,,,,,,,,,
34,Y,21,TZJ,PGM,AZ20271020TZJTPH13898,2027-10-20,TZJ,TPH,13898,2027-10-20 17:40,2027-10-20 19:30,2027-10-20 22:40,2027-10-21 0:30,0,1,2.393462836,,,,,,,,,,,,,,
34,Y,21,TZJ,PGM,AZ20271020TPHPGM8800,2027-10-20,TPH,PGM,8800,2027-10-21 4:41,2027-10-21 5:50,2027-10-21 9:41,2027-10-21 11:50,0,1,2.393462836,551.0,,,,,,,,,,,,,
35,Y,11,TPH,AGQ,AZ20271020TPHAGQ17373,2027-10-20,TPH,AGQ,17373,2027-10-20 18:59,2027-10-20 22:12,2027-10-20 23:59,2027-10-21 3:12,0,2,2.345999986,,,,,,,,,,,,,,
36,Y,20,EID,JDP,AZ20271021EIDTPH19272,2027-10-21,EID,TPH,19272,2027-10-21 11:08,2027-10-21 12:42,2027-10-21 16:08,2027-10-21 17:42,0,1,3.694849992,,,,,,,,,,,,,,
36,Y,20,EID,JDP,AZ20271021TPHJDP4203,2027-10-21,TPH,JDP,4203,2027-10-21 14:12,2027-10-21 17:05,2027-10-21 19:12,2027-10-21 23:05,0,1,3.694849992,90.0,AZ20271022TPHJDP5924,Either,TPH,JDP,2027-10-22,TPH,JDP,5924.0,2027-10-22 18:44,2027-10-22 21:37,2027-10-22 23:44,2027-10-23 02:37,
37,Y,0,QXG,IJA,AZ20271022QXGTPH2732,2027-10-22,QXG,TPH,2732,2027-10-22 13:31,2027-10-22 16:56,2027-10-22 19:31,2027-10-22 21:56,0,6,1.423000008,,AZ20271023QXGTPH2732,Either,QXG,TPH,2027-10-23,QXG,TPH,2732.0,2027-10-23 13:31,2027-10-23 16:56,2027-10-23 19:31,2027-10-23 21:56,
38,Y,10,OSW,SIQ,AZ20271020TPHSIQ10809,2027-10-20,TPH,SIQ,10809,2027-10-21 0:59,2027-10-21 4:47,2027-10-21 5:59,2027-10-21 8:47,0,1,3.169925001,152.0,,,,,,,,,,,,,
39,Y,10,OSW,SIQ,AZ20271020TPHSIQ10809,2027-10-20,TPH,SIQ,10809,2027-10-21 0:59,2027-10-21 4:47,2027-10-21 5:59,2027-10-21 8:47,0,15,3.563944993,152.0,,,,,,,,,,,,,
40,Y,18,NWY,ALN,AZ20271020TPHALN8203,2027-10-20,TPH,ALN,8203,2027-10-20 15:25,2027-10-20 18:22,2027-10-20 20:25,2027-10-21 0:22,0,1,2.955462812,179.0,,,,,,,,,,,,,
41,Y,11,EYF,KHL,AZ20271021EYFTPH7127,2027-10-21,EYF,TPH,7127,2027-10-21 18:37,2027-10-21 20:05,2027-10-21 23:37,2027-10-22 1:05,0,1,5.38253843,,AZ20271023EYFTPH7127,Either,EYF,TPH,2027-10-23,EYF,TPH,7127.0,2027-10-23 18:37,2027-10-23 20:05,2027-10-23 23:37,2027-10-24 01:05,
42,Y,24,TPH,OLT,AZ20271020TPHOLT8798,2027-10-20,TPH,OLT,8798,2027-10-20 14:03,2027-10-20 18:15,2027-10-20 19:03,2027-10-21 2:15,0,1,1.279940009,,,,,,,,,,,,,,
43,Y,11,HHO,NAD,AZ20271021TPHNAD12819,2027-10-21,TPH,NAD,12819,2027-10-21 15:22,2027-10-21 17:39,2027-10-21 20:22,2027-10-21 22:39,0,1,2.433462827,143.0,AZ20271021TPHNAD18287,Either,TPH,NAD,2027-10-21,TPH,NAD,18287.0,2027-10-21 17:47,2027-10-21 20:04,2027-10-21 22:47,2027-10-22 01:04,
44,Y,12,IJA,TPH,AZ20271020IJATPH18620,2027-10-20,IJA,TPH,18620,2027-10-20 21:07,2027-10-20 22:28,2027-10-21 2:07,2027-10-21 3:28,0,1,3.481928091,,AZ20271022IJATPH18620,Either,IJA,TPH,2027-10-22,IJA,TPH,18620.0,2027-10-22 21:07,2027-10-22 22:28,2027-10-23 02:07,2027-10-23 03:28,
45,Y,19,ECZ,FHY,AZ20271021ECZTPH7622,2027-10-21,ECZ,TPH,7622,2027-10-21 15:16,2027-10-21 16:43,2027-10-21 20:16,2027-10-21 21:43,0,1,3.60785001,,,,,,,,,,,,,,
46,Y,4,TPH,NAD,AZ20271021TPHNAD12819,2027-10-21,TPH,NAD,12819,2027-10-21 15:22,2027-10-21 17:39,2027-10-21 20:22,2027-10-21 22:39,0,1,6.489542841,,AZ20271022TPHNAD5528,Either,TPH,NAD,2027-10-22,TPH,NAD,5528.0,2027-10-22 21:32,2027-10-22 23:49,2027-10-23 02:32,2027-10-23 04:49,
47,Y,20,ERW,QXG,AZ20271020ERWTPH11666,2027-10-20,ERW,TPH,11666,2027-10-20 18:27,2027-10-20 20:04,2027-10-20 22:27,2027-10-21 1:04,0,1,1.419380009,,,,,,,,,,,,,,
48,Y,18,EYF,RHP,AZ20271021EYFTPH19533,2027-10-21,EYF,TPH,19533,2027-10-21 12:53,2027-10-21 14:21,2027-10-21 17:53,2027-10-21 19:21,0,1,2.475082843,,AZ20271022EYFTPH17051,Either,EYF,TPH,2027-10-22,EYF,TPH,17051.0,2027-10-23 00:08,2027-10-23 01:36,2027-10-23 05:08,2027-10-23 06:36,
49,Y,0,EYF,QXG,AZ20271021EYFTPH19533,2027-10-21,EYF,TPH,19533,2027-10-21 12:53,2027-10-21 14:21,2027-10-21 17:53,2027-10-21 19:21,0,2,1.248119995,,,,,,,,,,,,,,
50,Y,11,HHO,NAD,AZ20271021TPHNAD10818,2027-10-21,TPH,NAD,10818,2027-10-22 3:37,2027-10-22 5:54,2027-10-22 8:37,2027-10-22 10:54,0,2,1.138999999,85.0,AZ20271023TPHNAD10818,Either,TPH,NAD,2027-10-23,TPH,NAD,10818.0,2027-10-24 03:37,2027-10-24 05:54,2027-10-24 08:37,2027-10-24 10:54,
51,Y,12,JDP,VLL,AZ20271021JDPTPH19671,2027-10-21,JDP,TPH,19671,2027-10-21 18:05,2027-10-21 20:46,2027-10-22 0:05,2027-10-22 1:46,0,2,6.533498518,,AZ20271023JDPTPH19671,Either,JDP,TPH,2027-10-23,JDP,TPH,19671.0,2027-10-23 18:05,2027-10-23 20:46,2027-10-23 23:05,2027-10-24 01:46,
52,Y,22,TPH,ECZ,AZ20271020TPHECZ8227,2027-10-20,TPH,ECZ,8227,2027-10-21 3:52,2027-10-21 5:09,2027-10-21 8:52,2027-10-21 10:09,0,1,0.403890014,,,,,,,,,,,,,,
53,Y,20,ALN,CIA,AZ20271020ALNTPH13462,2027-10-20,ALN,TPH,13462,2027-10-20 19:21,2027-10-21 0:01,2027-10-21 1:21,2027-10-21 5:01,0,1,5.090719869,,AZ20271021ALNTPH13462,Either,ALN,TPH,2027-10-21,ALN,TPH,13462.0,2027-10-21 19:21,2027-10-22 00:01,2027-10-22 01:21,2027-10-22 05:01,
53,Y,20,ALN,CIA,AZ20271020ALNTPH13462,2027-10-20,ALN,TPH,13462,2027-10-20 19:21,2027-10-21 0:01,2027-10-21 1:21,2027-10-21 5:01,0,1,5.090719869,,AZ20271021ALNTPH7371,Either,ALN,TPH,2027-10-21,ALN,TPH,7371.0,2027-10-21 08:08,2027-10-21 12:45,2027-10-21 14:08,2027-10-21 17:45,
53,Y,20,ALN,CIA,AZ20271020ALNTPH13462,2027-10-20,ALN,TPH,13462,2027-10-20 19:21,2027-10-21 0:01,2027-10-21 1:21,2027-10-21 5:01,0,1,5.090719869,,AZ20271022ALNTPH13462,Either,ALN,TPH,2027-10-22,ALN,TPH,13462.0,2027-10-22 19:21,2027-10-23 00:01,2027-10-23 01:21,2027-10-23 05:01,
53,Y,20,ALN,CIA,AZ20271020ALNTPH13462,2027-10-20,ALN,TPH,13462,2027-10-20 19:21,2027-10-21 0:01,2027-10-21 1:21,2027-10-21 5:01,0,1,5.090719869,,AZ20271022ALNTPH6238,Either,ALN,TPH,2027-10-22,ALN,TPH,6238.0,2027-10-22 12:08,2027-10-22 16:48,2027-10-22 18:08,2027-10-22 21:48,
53,Y,20,ALN,CIA,AZ20271020ALNTPH13462,2027-10-20,ALN,TPH,13462,2027-10-20 19:21,2027-10-21 0:01,2027-10-21 1:21,2027-10-21 5:01,0,1,5.090719869,,AZ20271022ALNTPH7371,Either,ALN,TPH,2027-10-22,ALN,TPH,7371.0,2027-10-22 08:08,2027-10-22 12:45,2027-10-22 14:08,2027-10-22 17:45,
54,C,3,EID,RHP,AZ20271021EIDTPH19272,2027-10-21,EID,TPH,19272,2027-10-21 11:08,2027-10-21 12:42,2027-10-21 16:08,2027-10-21 17:42,0,3,4.312150044,,,,,,,,,,,,,,
