RECLOC,ORIG_CD,DEST_CD,DEP_KEY,FLT_NUM,DEP_DTMZ,ARR_DTMZ,PAX_CNT,NEW_DEPKEY,NEW_DEP_DTMZ,NEW_ARR_DTMZ,DELAY
10030,TPH,EBG,AZ20271021TPHEBG4711,4711,2027-10-22 05:50:00,2027-10-22 08:10:00,1,AZ20271023TPHEBG5086,2027-10-24 09:49:00,2027-10-24 12:09:00,2 days 03:59:00
10032,EID,TPH,AZ20271021EIDTPH2049,2049,2027-10-21 23:14:00,2027-10-22 00:48:00,1,AZ20271023EIDTPH14320,2027-10-23 20:12:00,2027-10-23 21:46:00,1 days 20:58:00
10034,QXG,TPH,AZ20271022QXGTPH2732,2732,2027-10-22 19:31:00,2027-10-22 21:56:00,1,AZ20271022QXGTPH2972,2027-10-23 00:59:00,2027-10-23 03:24:00,0 days 05:28:00
10036,TPH,TZJ,AZ20271021TPHTZJ14583,14583,2027-10-21 22:58:00,2027-10-22 00:38:00,3,AZ20271022TPHTZJ10148,2027-10-23 08:43:00,2027-10-23 10:23:00,1 days 09:45:00
10037,TPH,ZFM,AZ20271021TPHZFM15916,15916,2027-10-21 22:57:00,2027-10-22 05:32:00,2,AZ20271022TPHZFM1803,2027-10-23 08:37:00,2027-10-23 15:12:00,1 days 09:40:00
10038,TPH,CHC,AZ20271020TPHCHC18415,18415,2027-10-21 09:40:00,2027-10-21 16:40:00,1,AZ20271022TPHCHC5640,2027-10-23 02:59:00,2027-10-23 09:59:00,1 days 17:19:00
10039,TPH,QXG,AZ20271020TPHQXG9080,9080,2027-10-21 05:47:00,2027-10-21 08:15:00,1,AZ20271021TPHQXG7185,2027-10-21 20:43:00,2027-10-21 23:11:00,0 days 14:56:00
10046,TPH,BJQ,AZ20271020TPHBJQ13215,13215,2027-10-21 09:47:00,2027-10-21 14:48:00,1,AZ20271021TPHBJQ2133,2027-10-22 03:20:00,2027-10-22 08:28:00,0 days 17:40:00
10049,EYF,TPH,AZ20271021EYFTPH7127,7127,2027-10-21 23:37:00,2027-10-22 01:05:00,4,AZ20271023EYFTPH19533,2027-10-23 17:53:00,2027-10-23 19:21:00,1 days 18:16:00
10051,PSX,TPH,AZ20271020PSXTPH13635,13635,2027-10-21 02:03:00,2027-10-21 04:05:00,1,AZ20271023PSXTPH11869,2027-10-23 17:14:00,2027-10-23 19:16:00,2 days 15:11:00
10052,ERW,TPH,AZ20271022ERWTPH11457,11457,2027-10-22 16:35:00,2027-10-22 19:17:00,1,AZ20271023ERWTPH11457,2027-10-23 16:35:00,2027-10-23 19:17:00,1 days 00:00:00
10053,TPH,EBG,AZ20271021TPHEBG4711,4711,2027-10-22 05:50:00,2027-10-22 08:10:00,2,AZ20271022TPHEBG5086,2027-10-23 09:49:00,2027-10-23 12:09:00,1 days 03:59:00
10054,TPH,EID,AZ20271020TPHEID11017,11017,2027-10-21 02:39:00,2027-10-21 04:20:00,2,AZ20271021TPHEID11017,2027-10-22 02:39:00,2027-10-22 04:20:00,1 days 00:00:00
10057,TPH,EYF,AZ20271021TPHEYF8525,8525,2027-10-21 23:57:00,2027-10-22 01:18:00,4,AZ20271022TPHEYF8525,2027-10-22 23:57:00,2027-10-23 01:18:00,1 days 00:00:00
10058,VUY,TPH,AZ20271020VUYTPH2927,2927,2027-10-21 05:08:00,2027-10-21 06:32:00,2,AZ20271021VUYTPH4376,2027-10-22 06:26:00,2027-10-22 07:50:00,1 days 01:18:00
10059,LIZ,TPH,AZ20271021LIZTPH14435,14435,2027-10-22 03:55:00,2027-10-22 06:42:00,1,AZ20271023LIZTPH14019,2027-10-23 16:26:00,2027-10-23 19:13:00,1 days 12:31:00
10062,TPH,NAD,AZ20271020TPHNAD18287,18287,2027-10-20 22:47:00,2027-10-21 01:04:00,1,AZ20271022TPHNAD18287,2027-10-22 22:47:00,2027-10-23 01:04:00,2 days 00:00:00
10063,ALN,TPH,AZ20271022ALNTPH7450,7450,2027-10-22 22:03:00,2027-10-23 01:43:00,1,AZ20271024ALNTPH7371,2027-10-24 14:08:00,2027-10-24 17:45:00,1 days 16:02:00
10067,QHP,TPH,AZ20271021QHPTPH5747,5747,2027-10-21 16:17:00,2027-10-21 19:26:00,1,AZ20271022QHPTPH5747,2027-10-22 16:17:00,2027-10-22 19:26:00,1 days 00:00:00
10068,EID,TPH,AZ20271021EIDTPH2049,2049,2027-10-21 23:14:00,2027-10-22 00:48:00,2,AZ20271023EIDTPH19272,2027-10-23 16:08:00,2027-10-23 17:42:00,1 days 16:54:00
10071,CEF,TPH,AZ20271021CEFTPH3898,3898,2027-10-22 01:56:00,2027-10-22 03:51:00,3,AZ20271023CEFTPH9629,2027-10-23 14:24:00,2027-10-23 16:19:00,1 days 12:28:00
10073,PSX,TPH,AZ20271020PSXTPH13635,13635,2027-10-21 02:03:00,2027-10-21 04:05:00,1,AZ20271022PSXTPH11869,2027-10-22 17:14:00,2027-10-22 19:16:00,1 days 15:11:00
10076,JDP,TPH,AZ20271022JDPTPH15178,15178,2027-10-22 17:39:00,2027-10-22 19:20:00,6,AZ20271022JDPTPH16414,2027-10-22 19:10:00,2027-10-22 21:51:00,0 days 02:31:00
10078,TPH,QXG,AZ20271021TPHQXG5430,5430,2027-10-22 08:40:00,2027-10-22 11:08:00,1,AZ20271024TPHQXG14385,2027-10-24 18:40:00,2027-10-24 21:08:00,2 days 10:00:00
1007,TPH,PTP,AZ20271021TPHPTP10725,10725,2027-10-22 02:55:00,2027-10-22 09:36:00,1,AZ20271023TPHPTP8447,2027-10-24 05:56:00,2027-10-24 12:37:00,2 days 03:01:00
10080,TPH,JDP,AZ20271021TPHJDP11398,11398,2027-10-22 08:41:00,2027-10-22 12:31:00,2,AZ20271023TPHJDP4203,2027-10-23 19:12:00,2027-10-23 22:05:00,1 days 09:34:00
10083,TPH,RBR,AZ20271021TPHRBR5443,5443,2027-10-21 23:33:00,2027-10-22 01:23:00,1,AZ20271022TPHRBR5443,2027-10-22 23:33:00,2027-10-23 01:23:00,1 days 00:00:00
10088,TPH,NAD,AZ20271021TPHNAD10818,10818,2027-10-22 08:37:00,2027-10-22 10:54:00,1,AZ20271022TPHNAD10818,2027-10-23 08:37:00,2027-10-23 10:54:00,1 days 00:00:00
10089,TPH,QHP,AZ20271021TPHQHP15070,15070,2027-10-21 19:13:00,2027-10-21 22:21:00,1,AZ20271021TPHQHP793,2027-10-22 05:32:00,2027-10-22 08:40:00,0 days 10:19:00
1008,TPH,EID,AZ20271021TPHEID12343,12343,2027-10-22 08:59:00,2027-10-22 10:40:00,1,AZ20271024TPHEID787,2027-10-24 23:01:00,2027-10-25 00:42:00,2 days 14:02:00
10090,TPH,NMK,AZ20271021TPHNMK13145,13145,2027-10-21 18:43:00,2027-10-22 00:16:00,1,AZ20271023TPHNMK13145,2027-10-23 18:43:00,2027-10-24 00:16:00,2 days 00:00:00
10092,TPH,OLT,AZ20271020TPHOLT8798,8798,2027-10-20 19:03:00,2027-10-21 02:15:00,1,AZ20271022TPHOLT8798,2027-10-22 19:03:00,2027-10-23 02:15:00,2 days 00:00:00
10093,TPH,BJQ,AZ20271020TPHBJQ13215,13215,2027-10-21 09:47:00,2027-10-21 14:48:00,1,AZ20271023TPHBJQ2133,2027-10-24 03:20:00,2027-10-24 08:28:00,2 days 17:40:00
10096,TPH,RBR,AZ20271021TPHRBR5443,5443,2027-10-21 23:33:00,2027-10-22 01:23:00,1,AZ20271023TPHRBR5443,2027-10-23 23:33:00,2027-10-24 01:23:00,2 days 00:00:00
10101,TPH,NAD,AZ20271021TPHNAD10818,10818,2027-10-22 08:37:00,2027-10-22 10:54:00,1,AZ20271023TPHNAD5528,2027-10-24 02:32:00,2027-10-24 04:49:00,1 days 17:55:00
10104,TPH,HIP,AZ20271021TPHHIP18790,18790,2027-10-22 05:52:00,2027-10-22 07:18:00,1,AZ20271023TPHHIP18790,2027-10-24 05:52:00,2027-10-24 07:18:00,2 days 00:00:00
10106,TPH,NWY,AZ20271020TPHNWY19873,19873,2027-10-21 08:57:00,2027-10-21 12:34:00,1,AZ20271022TPHNWY4086,2027-10-23 02:35:00,2027-10-23 06:17:00,1 days 17:43:00
10108,TPH,BPJ,AZ20271020TPHBPJ14232,14232,2027-10-21 09:44:00,2027-10-21 17:03:00,1,AZ20271021TPHBPJ9170,2027-10-21 23:55:00,2027-10-22 07:14:00,0 days 14:11:00
10112,TPH,OYC,AZ20271020TPHOYC15133,15133,2027-10-20 20:26:00,2027-10-20 22:29:00,1,AZ20271023TPHOYC15133,2027-10-23 20:26:00,2027-10-23 22:29:00,3 days 00:00:00
10113,TPH,ERW,AZ20271021TPHERW6703,6703,2027-10-22 08:47:00,2027-10-22 11:16:00,1,AZ20271022TPHERW7675,2027-10-22 18:47:00,2027-10-22 21:16:00,0 days 10:00:00
10115,KHL,TPH,AZ20271022KHLTPH14976,14976,2027-10-22 11:06:00,2027-10-22 17:57:00,1,AZ20271022KHLTPH9400,2027-10-22 14:38:00,2027-10-22 21:29:00,0 days 03:32:00
10116,TPH,NAD,AZ20271020TPHNAD8686,8686,2027-10-21 05:31:00,2027-10-21 07:48:00,1,AZ20271020TPHNAD10818,2027-10-21 08:37:00,2027-10-21 10:54:00,0 days 03:06:00
10118,TPH,CHC,AZ20271020TPHCHC18415,18415,2027-10-21 09:40:00,2027-10-21 16:40:00,1,AZ20271022TPHCHC5640,2027-10-23 02:59:00,2027-10-23 09:59:00,1 days 17:19:00
10120,FHY,TPH,AZ20271020FHYTPH19214,19214,2027-10-20 23:31:00,2027-10-21 01:41:00,1,AZ20271020FHYTPH10835,2027-10-21 01:56:00,2027-10-21 04:06:00,0 days 02:25:00
10122,NAD,TPH,AZ20271021NADTPH19219,19219,2027-10-21 23:34:00,2027-10-22 01:43:00,1,AZ20271021NADTPH16274,2027-10-22 05:44:00,2027-10-22 07:53:00,0 days 06:10:00
10122,TPH,ERW,AZ20271021TPHERW6703,6703,2027-10-22 08:47:00,2027-10-22 11:16:00,1,AZ20271022TPHERW7675,2027-10-22 18:47:00,2027-10-22 21:16:00,0 days 10:00:00
10123,TPH,TZJ,AZ20271021TPHTZJ14583,14583,2027-10-21 22:58:00,2027-10-22 00:38:00,1,AZ20271022TPHTZJ17820,2027-10-23 02:46:00,2027-10-23 04:26:00,1 days 03:48:00
10125,TPH,TZJ,AZ20271021TPHTZJ10148,10148,2027-10-22 08:43:00,2027-10-22 10:23:00,1,AZ20271021TPHTZJ10685,2027-10-22 09:39:00,2027-10-22 11:19:00,0 days 00:56:00
10126,ALN,TPH,AZ20271020ALNTPH13462,13462,2027-10-21 01:21:00,2027-10-21 05:01:00,1,AZ20271022ALNTPH7371,2027-10-22 14:08:00,2027-10-22 17:45:00,1 days 12:44:00
10127,TPH,NWY,AZ20271021TPHNWY7746,7746,2027-10-22 08:55:00,2027-10-22 12:32:00,1,AZ20271021TPHNWY19873,2027-10-22 08:57:00,2027-10-22 12:34:00,0 days 00:02:00
10129,TPH,ALN,AZ20271021TPHALN3819,3819,2027-10-22 06:16:00,2027-10-22 10:13:00,2,AZ20271023TPHALN3819,2027-10-24 06:16:00,2027-10-24 10:13:00,2 days 00:00:00
1012,TPH,CEF,AZ20271021TPHCEF8181,8181,2027-10-21 20:46:00,2027-10-21 22:48:00,1,AZ20271022TPHCEF5687,2027-10-23 09:43:00,2027-10-23 11:45:00,1 days 12:57:00
1012,SIQ,TPH,AZ20271021SIQTPH18551,18551,2027-10-21 16:11:00,2027-10-21 19:15:00,1,AZ20271022SIQTPH5838,2027-10-23 03:55:00,2027-10-23 06:59:00,1 days 11:44:00
10136,PJY,TPH,AZ20271020PJYTPH2165,2165,2027-10-21 02:13:00,2027-10-21 04:40:00,1,AZ20271023PJYTPH2165,2027-10-24 02:13:00,2027-10-24 04:40:00,3 days 00:00:00
10138,TPH,CEF,AZ20271021TPHCEF8181,8181,2027-10-21 20:46:00,2027-10-21 22:48:00,1,AZ20271021TPHCEF1499,2027-10-22 05:48:00,2027-10-22 07:50:00,0 days 09:02:00
10139,TPH,OLT,AZ20271021TPHOLT17144,17144,2027-10-21 23:07:00,2027-10-22 06:19:00,1,AZ20271023TPHOLT5535,2027-10-24 06:08:00,2027-10-24 13:31:00,2 days 07:12:00
10143,QHP,TPH,AZ20271020QHPTPH16478,16478,2027-10-21 00:48:00,2027-10-21 03:57:00,1,AZ20271020QHPTPH10318,2027-10-21 03:30:00,2027-10-21 06:39:00,0 days 02:42:00
10144,TPH,CEF,AZ20271021TPHCEF5687,5687,2027-10-22 09:43:00,2027-10-22 11:45:00,4,AZ20271023TPHCEF8181,2027-10-23 20:46:00,2027-10-23 22:48:00,1 days 11:03:00
10147,RBR,TPH,AZ20271021RBRTPH7756,7756,2027-10-22 02:18:00,2027-10-22 03:58:00,1,AZ20271024RBRTPH14413,2027-10-24 15:55:00,2027-10-24 17:35:00,2 days 13:37:00
10149,TPH,EYF,AZ20271021TPHEYF898,898,2027-10-21 20:44:00,2027-10-21 22:05:00,1,AZ20271022TPHEYF898,2027-10-22 20:44:00,2027-10-22 22:05:00,1 days 00:00:00
10150,TPH,OLT,AZ20271021TPHOLT17144,17144,2027-10-21 23:07:00,2027-10-22 06:19:00,1,AZ20271023TPHOLT6046,2027-10-24 05:38:00,2027-10-24 13:01:00,2 days 06:42:00
10151,TZJ,TPH,AZ20271021TZJTPH6737,6737,2027-10-22 02:23:00,2027-10-22 04:13:00,1,AZ20271023TZJTPH10249,2027-10-23 20:05:00,2027-10-23 21:55:00,1 days 17:42:00
10153,NWY,TPH,AZ20271021NWYTPH12647,12647,2027-10-21 13:43:00,2027-10-21 17:24:00,1,AZ20271022NWYTPH12647,2027-10-22 13:43:00,2027-10-22 17:24:00,1 days 00:00:00
10154,TPH,PTP,AZ20271021TPHPTP10725,10725,2027-10-22 02:55:00,2027-10-22 09:36:00,1,AZ20271024TPHPTP10725,2027-10-25 02:55:00,2027-10-25 09:36:00,3 days 00:00:00
10158,NAD,TPH,AZ20271021NADTPH19219,19219,2027-10-21 23:34:00,2027-10-22 01:43:00,1,AZ20271022NADTPH19219,2027-10-22 23:34:00,2027-10-23 01:43:00,1 days 00:00:00
10158,TPH,ERW,AZ20271021TPHERW6703,6703,2027-10-22 08:47:00,2027-10-22 11:16:00,1,AZ20271022TPHERW6703,2027-10-23 08:47:00,2027-10-23 11:16:00,1 days 00:00:00
1015,VUY,TPH,AZ20271020VUYTPH2927,2927,2027-10-21 05:08:00,2027-10-21 06:32:00,1,AZ20271021VUYTPH8400,2027-10-21 20:46:00,2027-10-21 22:10:00,0 days 15:38:00
10161,QHP,TPH,AZ20271021QHPTPH5747,5747,2027-10-21 16:17:00,2027-10-21 19:26:00,1,AZ20271021QHPTPH2890,2027-10-21 18:44:00,2027-10-21 21:53:00,0 days 02:27:00
10162,TPH,OSW,AZ20271021TPHOSW2173,2173,2027-10-21 18:48:00,2027-10-21 21:28:00,1,AZ20271023TPHOSW3559,2027-10-24 06:02:00,2027-10-24 08:42:00,2 days 11:14:00
10163,TPH,QXG,AZ20271021TPHQXG5430,5430,2027-10-22 08:40:00,2027-10-22 11:08:00,3,AZ20271022TPHQXG9080,2027-10-23 05:47:00,2027-10-23 08:15:00,0 days 21:07:00
10164,CEF,TPH,AZ20271020CEFTPH3898,3898,2027-10-21 01:56:00,2027-10-21 03:51:00,5,AZ20271022CEFTPH115,2027-10-23 05:49:00,2027-10-23 07:44:00,2 days 03:53:00
10165,TPH,PSX,AZ20271020TPHPSX826,826,2027-10-20 22:56:00,2027-10-21 00:59:00,1,AZ20271020TPHPSX6156,2027-10-21 09:46:00,2027-10-21 11:49:00,0 days 10:50:00
10169,QHP,TPH,AZ20271020QHPTPH16478,16478,2027-10-21 00:48:00,2027-10-21 03:57:00,4,AZ20271021QHPTPH6350,2027-10-21 16:14:00,2027-10-21 19:23:00,0 days 15:26:00
1016,TPH,CEF,AZ20271021TPHCEF5687,5687,2027-10-22 09:43:00,2027-10-22 11:45:00,2,AZ20271023TPHCEF8181,2027-10-23 20:46:00,2027-10-23 22:48:00,1 days 11:03:00
10173,TPH,EBG,AZ20271021TPHEBG4711,4711,2027-10-22 05:50:00,2027-10-22 08:10:00,2,AZ20271023TPHEBG4711,2027-10-24 05:50:00,2027-10-24 08:10:00,2 days 00:00:00
10177,EYF,TPH,AZ20271020EYFTPH7127,7127,2027-10-20 23:37:00,2027-10-21 01:05:00,4,AZ20271022EYFTPH17051,2027-10-23 05:08:00,2027-10-23 06:36:00,2 days 05:31:00
10178,TPH,TZJ,AZ20271020TPHTZJ19911,19911,2027-10-21 02:45:00,2027-10-21 04:25:00,1,AZ20271020TPHTZJ13368,2027-10-21 05:34:00,2027-10-21 07:14:00,0 days 02:49:00
10179,TPH,RBR,AZ20271021TPHRBR5443,5443,2027-10-21 23:33:00,2027-10-22 01:23:00,1,AZ20271023TPHRBR14039,2027-10-24 08:53:00,2027-10-24 10:43:00,2 days 09:20:00
1017,TPH,NWY,AZ20271020TPHNWY19873,19873,2027-10-21 08:57:00,2027-10-21 12:34:00,1,AZ20271020TPHNWY8238,2027-10-21 06:00:00,2027-10-21 09:42:00,-1 days +21:08:00
10180,JDP,TPH,AZ20271021JDPTPH19671,19671,2027-10-22 00:05:00,2027-10-22 01:46:00,2,AZ20271021JDPTPH15100,2027-10-22 01:05:00,2027-10-22 03:48:00,0 days 02:02:00
10181,TPH,SIQ,AZ20271020TPHSIQ10809,10809,2027-10-21 05:59:00,2027-10-21 08:47:00,1,AZ20271022TPHSIQ10809,2027-10-23 05:59:00,2027-10-23 08:47:00,2 days 00:00:00
10182,OSW,TPH,AZ20271021OSWTPH11969,11969,2027-10-21 16:30:00,2027-10-21 19:14:00,1,AZ20271022OSWTPH19197,2027-10-22 22:41:00,2027-10-23 01:25:00,1 days 06:11:00
10182,TPH,NAD,AZ20271021TPHNAD12819,12819,2027-10-21 20:22:00,2027-10-21 22:39:00,1,AZ20271022TPHNAD8686,2027-10-23 05:31:00,2027-10-23 07:48:00,1 days 09:09:00
10183,TPH,EYF,AZ20271021TPHEYF898,898,2027-10-21 20:44:00,2027-10-21 22:05:00,1,AZ20271022TPHEYF15612,2027-10-23 05:44:00,2027-10-23 07:05:00,1 days 09:00:00
10187,TPH,RBR,AZ20271021TPHRBR5443,5443,2027-10-21 23:33:00,2027-10-22 01:23:00,1,AZ20271024TPHRBR5443,2027-10-24 23:33:00,2027-10-25 01:23:00,3 days 00:00:00
10188,TPH,QXG,AZ20271021TPHQXG5430,5430,2027-10-22 08:40:00,2027-10-22 11:08:00,1,AZ20271024TPHQXG7185,2027-10-24 20:43:00,2027-10-24 23:11:00,2 days 12:03:00
1018,TPH,NAD,AZ20271021TPHNAD12819,12819,2027-10-21 20:22:00,2027-10-21 22:39:00,1,AZ20271023TPHNAD18287,2027-10-23 22:47:00,2027-10-24 01:04:00,2 days 02:25:00
10190,TPH,GCH,AZ20271020TPHGCH2827,2827,2027-10-21 09:37:00,2027-10-21 12:35:00,1,AZ20271023TPHGCH2827,2027-10-24 09:37:00,2027-10-24 12:35:00,3 days 00:00:00
10192,TPH,RBR,AZ20271021TPHRBR5443,5443,2027-10-21 23:33:00,2027-10-22 01:23:00,1,AZ20271023TPHRBR5443,2027-10-23 23:33:00,2027-10-24 01:23:00,2 days 00:00:00
10193,TPH,VUY,AZ20271020TPHVUY109,109,2027-10-20 23:21:00,2027-10-21 00:47:00,1,AZ20271021TPHVUY14711,2027-10-22 02:44:00,2027-10-22 04:10:00,1 days 03:23:00
10194,TPH,OSW,AZ20271021TPHOSW2173,2173,2027-10-21 18:48:00,2027-10-21 21:28:00,1,AZ20271021TPHOSW3559,2027-10-22 06:02:00,2027-10-22 08:42:00,0 days 11:14:00
10195,TPH,ECZ,AZ20271020TPHECZ8227,8227,2027-10-21 08:52:00,2027-10-21 10:09:00,1,AZ20271023TPHECZ8227,2027-10-24 08:52:00,2027-10-24 10:09:00,3 days 00:00:00
10199,TPH,EYF,AZ20271020TPHEYF5897,5897,2027-10-21 08:46:00,2027-10-21 10:07:00,1,AZ20271022TPHEYF898,2027-10-22 20:44:00,2027-10-22 22:05:00,1 days 11:58:00
1019,OSW,TPH,AZ20271022OSWTPH11969,11969,2027-10-22 16:30:00,2027-10-22 19:14:00,1,AZ20271022OSWTPH14001,2027-10-22 18:35:00,2027-10-22 21:19:00,0 days 02:05:00
101,VUY,TPH,AZ20271021VUYTPH11209,11209,2027-10-21 16:20:00,2027-10-21 17:44:00,2,AZ20271021VUYTPH5659,2027-10-21 18:02:00,2027-10-21 19:26:00,0 days 01:42:00
10201,RHP,TPH,AZ20271021RHPTPH12951,12951,2027-10-21 21:53:00,2027-10-22 01:21:00,1,AZ20271021RHPTPH17919,2027-10-22 03:09:00,2027-10-22 06:37:00,0 days 05:16:00
10204,JDP,TPH,AZ20271021JDPTPH19671,19671,2027-10-22 00:05:00,2027-10-22 01:46:00,1,AZ20271021JDPTPH15100,2027-10-22 01:05:00,2027-10-22 03:48:00,0 days 02:02:00
10205,VUY,TPH,AZ20271021VUYTPH18329,18329,2027-10-21 23:16:00,2027-10-22 00:40:00,2,AZ20271022VUYTPH2927,2027-10-23 05:08:00,2027-10-23 06:32:00,1 days 05:52:00
10207,TPH,CHC,AZ20271020TPHCHC18415,18415,2027-10-21 09:40:00,2027-10-21 16:40:00,2,AZ20271022TPHCHC5640,2027-10-23 02:59:00,2027-10-23 09:59:00,1 days 17:19:00
10209,TPH,EYF,AZ20271021TPHEYF898,898,2027-10-21 20:44:00,2027-10-21 22:05:00,2,AZ20271023TPHEYF972,2027-10-23 18:23:00,2027-10-23 19:44:00,1 days 21:39:00
1020,QXG,TPH,AZ20271021QXGTPH15389,15389,2027-10-21 17:03:00,2027-10-21 19:28:00,1,AZ20271022QXGTPH2972,2027-10-23 00:59:00,2027-10-23 03:24:00,1 days 07:56:00
10211,TPH,QXG,AZ20271021TPHQXG5430,5430,2027-10-22 08:40:00,2027-10-22 11:08:00,1,AZ20271022TPHQXG14385,2027-10-22 18:40:00,2027-10-22 21:08:00,0 days 10:00:00
10212,TPH,CEF,AZ20271021TPHCEF8181,8181,2027-10-21 20:46:00,2027-10-21 22:48:00,1,AZ20271021TPHCEF5474,2027-10-22 02:48:00,2027-10-22 04:50:00,0 days 06:02:00
10213,TPH,RZD,AZ20271020TPHRZD8719,8719,2027-10-21 08:38:00,2027-10-21 14:49:00,1,AZ20271021TPHRZD17197,2027-10-22 02:53:00,2027-10-22 09:10:00,0 days 18:21:00
10214,TPH,LIZ,AZ20271021TPHLIZ17269,17269,2027-10-22 00:09:00,2027-10-22 02:48:00,4,AZ20271022TPHLIZ17269,2027-10-23 00:09:00,2027-10-23 02:48:00,1 days 00:00:00
10215,TPH,QRD,AZ20271020TPHQRD1370,1370,2027-10-20 20:47:00,2027-10-21 00:13:00,1,AZ20271022TPHQRD1370,2027-10-22 20:47:00,2027-10-23 00:13:00,2 days 00:00:00
10217,TPH,TZJ,AZ20271020TPHTZJ19978,19978,2027-10-20 19:09:00,2027-10-20 20:49:00,1,AZ20271021TPHTZJ19911,2027-10-22 02:45:00,2027-10-22 04:25:00,1 days 07:36:00
10218,TPH,FHY,AZ20271020TPHFHY5119,5119,2027-10-20 20:34:00,2027-10-20 22:30:00,1,AZ20271022TPHFHY5119,2027-10-22 20:34:00,2027-10-22 22:30:00,2 days 00:00:00
